cost,time,status,seed,config_id,instance_id
0.022813,0.022813,StatusType.SUCCESS,1298508491,1,instances/gzip_vc1044.cnf
0.040615,0.040615,StatusType.SUCCESS,2143362693,1,instances/gzip_vc1038.cnf
0.020879,0.020879,StatusType.SUCCESS,1298508491,2,instances/gzip_vc1044.cnf
0.038686,0.038686,StatusType.SUCCESS,2143362693,2,instances/gzip_vc1038.cnf
0.016948,0.016948,StatusType.SUCCESS,1703301249,2,instances/gzip_vc1018.cnf
0.023201,0.023201,StatusType.SUCCESS,1703301249,3,instances/gzip_vc1018.cnf
0.008648,0.008648,StatusType.SUCCESS,1704103302,2,instances/gzip_vc1021.cnf
0.014478,0.014478,StatusType.SUCCESS,1703301249,4,instances/gzip_vc1018.cnf
0.017291,0.017291,StatusType.SUCCESS,1298508491,4,instances/gzip_vc1044.cnf
0.006671,0.006671,StatusType.SUCCESS,1704103302,4,instances/gzip_vc1021.cnf
0.032347,0.032347,StatusType.SUCCESS,2143362693,4,instances/gzip_vc1038.cnf
0.01789,0.01789,StatusType.SUCCESS,1703301249,1,instances/gzip_vc1018.cnf
0.015734,0.015734,StatusType.SUCCESS,878115723,4,instances/gzip_vc1031.cnf
0.019305,0.019305,StatusType.SUCCESS,1703301249,5,instances/gzip_vc1018.cnf
0.003259,0.003259,StatusType.SUCCESS,732152370,4,instances/gzip_vc1012.cnf
0.003951,0.003951,StatusType.SUCCESS,732152370,6,instances/gzip_vc1012.cnf
0.002149,0.002149,StatusType.SUCCESS,1195672662,4,instances/gzip_vc1013.cnf
0.021541,0.021541,StatusType.SUCCESS,878115723,7,instances/gzip_vc1031.cnf
0.033055,0.033055,StatusType.SUCCESS,1413675217,4,instances/gzip_vc1027.cnf
0.005508,0.005508,StatusType.SUCCESS,732152370,8,instances/gzip_vc1012.cnf
0.017968,0.017968,StatusType.SUCCESS,399713351,4,instances/gzip_vc1020.cnf
0.002547,0.002547,StatusType.SUCCESS,1195672662,9,instances/gzip_vc1013.cnf
0.00932,0.00932,StatusType.SUCCESS,610401323,4,instances/gzip_vc1041.cnf
0.017422,0.017422,StatusType.SUCCESS,878115723,10,instances/gzip_vc1031.cnf
0.011034,0.011034,StatusType.SUCCESS,1282027545,4,instances/gzip_vc1041.cnf
0.040231,0.040231,StatusType.SUCCESS,1413675217,11,instances/gzip_vc1027.cnf
0.018737,0.018737,StatusType.SUCCESS,768092755,4,instances/gzip_vc1044.cnf
0.054345,0.054345,StatusType.SUCCESS,2143362693,12,instances/gzip_vc1038.cnf
0.037625,0.037625,StatusType.SUCCESS,992203680,4,instances/gzip_vc1038.cnf
0.018196,0.018196,StatusType.SUCCESS,878115723,13,instances/gzip_vc1031.cnf
0.030895,0.030895,StatusType.SUCCESS,1909519948,4,instances/gzip_vc1027.cnf
0.01168,0.01168,StatusType.SUCCESS,1704103302,14,instances/gzip_vc1021.cnf
0.002515,0.002515,StatusType.SUCCESS,592003168,4,instances/gzip_vc1013.cnf
0.027349,0.027349,StatusType.SUCCESS,1909519948,15,instances/gzip_vc1027.cnf
0.002203,0.002203,StatusType.SUCCESS,592003168,15,instances/gzip_vc1013.cnf
0.03495,0.03495,StatusType.SUCCESS,1413675217,15,instances/gzip_vc1027.cnf
0.020122,0.020122,StatusType.SUCCESS,1298508491,15,instances/gzip_vc1044.cnf
0.002607,0.002607,StatusType.SUCCESS,1195672662,15,instances/gzip_vc1013.cnf
0.004296,0.004296,StatusType.SUCCESS,732152370,15,instances/gzip_vc1012.cnf
0.016772,0.016772,StatusType.SUCCESS,878115723,15,instances/gzip_vc1031.cnf
0.017225,0.017225,StatusType.SUCCESS,116213680,4,instances/gzip_vc1031.cnf
0.044759,0.044759,StatusType.SUCCESS,992203680,16,instances/gzip_vc1038.cnf
0.009612,0.009612,StatusType.SUCCESS,1857983374,4,instances/gzip_vc1021.cnf
0.002701,0.002701,StatusType.SUCCESS,1195672662,17,instances/gzip_vc1013.cnf
0.01923,0.01923,StatusType.SUCCESS,438667483,4,instances/gzip_vc1020.cnf
0.043523,0.043523,StatusType.SUCCESS,1909519948,18,instances/gzip_vc1027.cnf
0.014574,0.014574,StatusType.SUCCESS,1319006753,4,instances/gzip_vc1018.cnf
0.092187,0.092187,StatusType.SUCCESS,1413675217,19,instances/gzip_vc1027.cnf
0.004145,0.004145,StatusType.SUCCESS,1179591951,4,instances/gzip_vc1012.cnf
0.02427,0.02427,StatusType.SUCCESS,399713351,20,instances/gzip_vc1020.cnf
0.016089,0.016089,StatusType.SUCCESS,170439343,4,instances/gzip_vc1044.cnf
0.034127,0.034127,StatusType.SUCCESS,1298508491,21,instances/gzip_vc1044.cnf
0.013204,0.013204,StatusType.SUCCESS,557132457,4,instances/gzip_vc1018.cnf
0.013457,0.013457,StatusType.SUCCESS,557132457,22,instances/gzip_vc1018.cnf
0.017332,0.017332,StatusType.SUCCESS,710413845,4,instances/gzip_vc1031.cnf
0.043586,0.043586,StatusType.SUCCESS,2143362693,23,instances/gzip_vc1038.cnf
0.003105,0.003105,StatusType.SUCCESS,1695977848,4,instances/gzip_vc1012.cnf
0.023336,0.023336,StatusType.SUCCESS,1298508491,24,instances/gzip_vc1044.cnf
0.034341,0.034341,StatusType.SUCCESS,1208933503,4,instances/gzip_vc1038.cnf
0.017784,0.017784,StatusType.SUCCESS,610401323,25,instances/gzip_vc1041.cnf
0.002575,0.002575,StatusType.SUCCESS,1687444137,4,instances/gzip_vc1013.cnf
0.013608,0.013608,StatusType.SUCCESS,557132457,26,instances/gzip_vc1018.cnf
0.03055,0.03055,StatusType.SUCCESS,320883483,4,instances/gzip_vc1027.cnf
0.026977,0.026977,StatusType.SUCCESS,438667483,27,instances/gzip_vc1020.cnf
0.020549,0.020549,StatusType.SUCCESS,852851176,4,instances/gzip_vc1020.cnf
0.015039,0.015039,StatusType.SUCCESS,1298508491,28,instances/gzip_vc1044.cnf
0.048968,0.048968,StatusType.SUCCESS,2143362693,28,instances/gzip_vc1038.cnf
0.016853,0.016853,StatusType.SUCCESS,768092755,28,instances/gzip_vc1044.cnf
0.00917,0.00917,StatusType.SUCCESS,1104314680,4,instances/gzip_vc1041.cnf
0.034465,0.034465,StatusType.SUCCESS,852851176,29,instances/gzip_vc1020.cnf
0.006748,0.006748,StatusType.SUCCESS,44500126,4,instances/gzip_vc1021.cnf
0.003259,0.003259,StatusType.SUCCESS,1179591951,30,instances/gzip_vc1012.cnf
0.008887,0.008887,StatusType.SUCCESS,1857983374,30,instances/gzip_vc1021.cnf
0.002807,0.002807,StatusType.SUCCESS,1195672662,30,instances/gzip_vc1013.cnf
0.023151,0.023151,StatusType.SUCCESS,1909519948,30,instances/gzip_vc1027.cnf
0.033187,0.033187,StatusType.SUCCESS,2143362693,30,instances/gzip_vc1038.cnf
0.01775,0.01775,StatusType.SUCCESS,438667483,30,instances/gzip_vc1020.cnf
0.015614,0.015614,StatusType.SUCCESS,1703301249,30,instances/gzip_vc1018.cnf
0.008504,0.008504,StatusType.SUCCESS,1704103302,30,instances/gzip_vc1021.cnf
0.009388,0.009388,StatusType.SUCCESS,1104314680,30,instances/gzip_vc1041.cnf
0.013998,0.013998,StatusType.SUCCESS,557132457,30,instances/gzip_vc1018.cnf
0.016363,0.016363,StatusType.SUCCESS,768092755,30,instances/gzip_vc1044.cnf
0.019026,0.019026,StatusType.SUCCESS,116213680,30,instances/gzip_vc1031.cnf
0.025903,0.025903,StatusType.SUCCESS,320883483,30,instances/gzip_vc1027.cnf
0.017191,0.017191,StatusType.SUCCESS,710413845,30,instances/gzip_vc1031.cnf
0.004171,0.004171,StatusType.SUCCESS,732152370,30,instances/gzip_vc1012.cnf
0.011112,0.011112,StatusType.SUCCESS,610401323,30,instances/gzip_vc1041.cnf
0.011218,0.011218,StatusType.SUCCESS,1282027545,30,instances/gzip_vc1041.cnf
0.015409,0.015409,StatusType.SUCCESS,1319006753,30,instances/gzip_vc1018.cnf
