Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,0.9079,0,10000.0,-1,0.9079,-1.0,1,315.0,0,0.9079,SAT,Solution verified,1.878,
2,1,2,0.0319,0,10000.0,-1,0.0319,-1.0,1,145.0,1,0.9398000000000001,SAT,Solution verified,0.349,
3,2,2,0.0324,0,1.0440701743319631,-1,0.0324,-1.0,1,145.0,1,0.9722000000000001,SAT,Solution verified,0.363,
4,1,3,2.9292,0,10000.0,-1,2.9292,-1.0,1,322.0,1,3.9013999999999998,SAT,Solution verified,3.841,
5,3,2,0.0323,0,1.0440701743319631,-1,0.0323,-1.0,1,145.0,1,3.9337,SAT,Solution verified,0.399,
6,1,4,5.7626,0,10000.0,-1,5.7626,-1.0,1,212.0,2,9.6963,SAT,Solution verified,6.555,
7,4,3,4.810560553680361,1,4.810560553680361,-1,5.0522,-1.0,0,272.0,2,14.7485,TIMEOUT,,5.515,
8,1,5,3.4043,0,10000.0,-1,3.4043,-1.0,1,278.0,2,18.1528,SAT,Solution verified,3.776,
9,5,2,0.0641,0,1.0440701743319631,-1,0.0641,-1.0,1,145.0,2,18.2169,SAT,Solution verified,0.266,
10,1,6,3.3267,0,10000.0,-1,3.3267,-1.0,1,210.0,3,21.543599999999998,SAT,Solution verified,3.856,
11,6,6,5.3273107049718496,1,5.3273107049718496,-1,6.0525,-1.0,0,9.99999999E8,3,27.5961,TIMEOUT,,6.499,
12,1,7,7.948,0,10000.0,-1,7.948,-1.0,1,187.0,3,35.5441,SAT,Solution verified,8.345,
13,7,7,11.335000745832176,1,11.335000745832176,-1,12.1094,-1.0,0,9.99999999E8,3,47.6535,TIMEOUT,,12.672,
14,1,8,4.0171,0,10000.0,-1,4.0171,-1.0,1,332.0,4,51.6706,SAT,Solution verified,4.455,
15,8,4,8.493980451832712,1,8.493980451832712,-1,9.056,-1.0,0,9.99999999E8,4,60.7266,TIMEOUT,,9.455,
16,1,9,0.0254,0,10000.0,-1,0.0254,-1.0,1,602.0,4,60.751999999999995,SAT,Solution verified,0.275,
17,9,7,11.335000745832176,1,11.335000745832176,-1,12.0778,-1.0,0,9.99999999E8,4,72.82979999999999,TIMEOUT,,12.554,
18,1,10,7.1181,0,10000.0,-1,7.1181,-1.0,1,238.0,5,79.94789999999999,SAT,Solution verified,7.794,
19,10,6,5.3273107049718496,1,5.3273107049718496,-1,6.0557,-1.0,0,9.99999999E8,5,86.00359999999999,TIMEOUT,,6.469,
20,1,11,77.5123,0,10000.0,-1,77.5123,-1.0,1,247.0,5,163.5159,SAT,Solution verified,79.808,
20,1,11,77.5123,0,10000.0,2,77.5123,-1.0,1,247.0,5,163.5159,SAT,Solution verified,79.808,
20,1,11,77.5123,0,10000.0,3,77.5123,-1.0,1,247.0,5,163.5159,SAT,Solution verified,79.808,
20,1,11,77.5123,0,10000.0,4,77.5123,-1.0,1,247.0,5,163.5159,SAT,Solution verified,79.808,
