Date,Open,High,Low,Close,Volume
1/3/2006,1248.29,1270.22,1245.74,1268.8,1511666432
1/4/2006,1268.8,1275.37,1267.74,1273.46,1451294208
1/5/2006,1273.46,1276.91,1270.3,1273.48,1419537536
1/6/2006,1273.48,1286.09,1273.48,1285.45,1536703616
1/9/2006,1285.45,1290.78,1284.82,1290.15,1317811584
1/10/2006,1290.15,1290.15,1283.76,1289.69,1384436736
1/11/2006,1289.72,1294.9,1288.12,1294.18,1434620032
1/12/2006,1294.18,1294.18,1285.04,1286.06,1364525696
1/13/2006,1286.06,1288.96,1282.78,1287.61,1352015488
1/17/2006,1287.61,1287.61,1278.61,1282.93,1309810688
1/18/2006,1282.93,1282.93,1272.08,1277.93,1557599488
1/19/2006,1277.93,1287.79,1277.93,1285.04,1588769408
1/20/2006,1285.04,1285.04,1260.92,1261.48,1840725376
1/23/2006,1261.49,1268.19,1261.49,1263.83,1504039040
1/24/2006,1263.82,1271.47,1263.82,1266.86,1796397056
1/25/2006,1266.86,1271.87,1259.42,1264.68,1851374720
1/26/2006,1264.68,1276.44,1264.68,1273.83,1961275392
1/27/2006,1273.83,1286.38,1273.83,1283.72,1870528768
1/30/2006,1283.72,1287.94,1283.51,1285.19,1587960320
1/31/2006,1285.2,1285.2,1276.85,1280.09,1879069056
2/1/2006,1280.08,1283.33,1277.57,1282.46,1807003136
2/2/2006,1282.46,1282.46,1267.72,1270.84,1731730816
2/3/2006,1270.84,1270.87,1261.02,1264.03,1742966144
2/6/2006,1264.03,1267.04,1261.62,1265.02,1407164288
2/7/2006,1265.02,1265.78,1253.61,1254.78,1646823040
2/8/2006,1254.78,1266.47,1254.78,1265.65,1690485632
2/9/2006,1265.65,1274.56,1262.8,1263.78,1659002368
2/10/2006,1263.82,1269.89,1254.98,1266.99,1486700544
2/13/2006,1266.99,1266.99,1258.34,1262.86,1187575552
2/14/2006,1262.86,1278.21,1260.8,1275.53,1572662016
2/15/2006,1275.53,1281,1271.06,1280,1567425792
2/16/2006,1280,1289.39,1280,1289.38,1513326592
2/17/2006,1289.38,1289.47,1284.07,1287.24,1536302080
2/21/2006,1287.24,1291.92,1281.33,1283.03,1345217280
2/22/2006,1283.03,1294.17,1283.03,1292.67,1549660544
2/23/2006,1292.67,1293.84,1285.14,1287.79,1416261632
2/24/2006,1287.79,1292.11,1285.62,1289.43,1197830912
2/27/2006,1289.43,1297.57,1289.43,1294.12,1310408320
2/28/2006,1294.12,1294.12,1278.66,1280.66,1707962496
3/1/2006,1280.66,1291.8,1280.66,1291.24,1642311424
3/2/2006,1291.24,1291.24,1283.21,1289.14,1674127744
3/3/2006,1289.14,1297.33,1284.2,1287.23,1724304768
3/6/2006,1287.23,1288.23,1275.67,1278.26,1571653376
3/7/2006,1278.26,1278.26,1271.11,1275.88,1481910400
3/8/2006,1275.88,1280.33,1268.42,1278.47,1600840960
3/9/2006,1278.47,1282.74,1272.23,1272.23,1437443840
3/10/2006,1272.23,1284.37,1271.11,1281.58,1401033856
3/13/2006,1281.58,1287.37,1281.58,1284.13,1314377216
3/14/2006,1284.13,1298.14,1282.67,1297.48,1390807040
3/15/2006,1297.48,1304.4,1294.97,1303.02,1609190528
3/16/2006,1303.02,1310.45,1303.02,1305.33,1723214080
3/17/2006,1305.33,1309.79,1305.32,1307.25,2048163840
3/20/2006,1307.25,1310,1303.59,1305.08,1356931712
3/21/2006,1305.08,1310.88,1295.82,1297.23,1639627136
3/22/2006,1297.23,1305.97,1295.81,1305.04,1509253632
3/23/2006,1305.04,1305.04,1298.11,1301.67,1428152448
3/24/2006,1301.67,1306.53,1298.89,1302.95,1397275520
3/27/2006,1302.95,1303.74,1299.09,1301.61,1289384064
3/28/2006,1301.61,1306.24,1291.84,1293.22,1481760640
3/29/2006,1293.23,1305.6,1293.23,1302.89,1651315456
3/30/2006,1302.89,1310.15,1296.72,1300.25,1495904896
3/31/2006,1300.25,1303,1294.83,1294.83,1457430016
4/3/2006,1302.88,1309.19,1296.65,1297.81,1537316608
4/4/2006,1297.81,1307.55,1294.71,1305.93,1475418624
4/5/2006,1305.93,1312.81,1304.82,1311.56,1570448256
4/6/2006,1311.56,1311.99,1302.44,1309.04,1517006080
4/7/2006,1309.04,1314.07,1294.18,1295.5,1408320000
4/10/2006,1295.51,1300.74,1293.17,1296.61,1267564416
4/11/2006,1296.6,1300.71,1282.96,1286.58,1539671296
4/12/2006,1286.57,1290.93,1286.45,1288.13,1240490112
4/13/2006,1288.12,1292.09,1283.37,1289.12,1161569920
4/17/2006,1289.12,1292.45,1280.74,1285.33,1225821696
4/18/2006,1285.33,1309.02,1285.33,1307.64,1778020096
4/19/2006,1307.65,1310.39,1302.79,1309.93,1633534080
4/20/2006,1309.93,1318.16,1306.38,1311.46,1738845184
4/21/2006,1311.46,1317.67,1306.59,1311.28,1808791808
4/24/2006,1311.28,1311.28,1303.79,1308.11,1448896384
4/25/2006,1308.11,1310.79,1299.17,1301.74,1676417920
4/26/2006,1301.74,1310.97,1301.74,1305.41,1643683968
4/27/2006,1305.41,1315,1295.57,1309.72,2034938496
4/28/2006,1309.72,1316.04,1306.16,1310.61,2064717056
5/1/2006,1310.61,1317.21,1303.46,1305.19,1617419520
5/2/2006,1305.19,1313.66,1305.19,1313.21,1568523392
5/3/2006,1313.21,1313.47,1303.92,1307.85,1670527872
5/4/2006,1307.85,1315.14,1307.85,1312.25,1562412032
5/5/2006,1312.25,1326.53,1312.25,1325.76,1557570304
5/8/2006,1325.76,1326.7,1322.87,1324.66,1471504896
5/9/2006,1324.66,1326.6,1322.48,1325.14,1472940160
5/10/2006,1324.57,1325.51,1317.44,1322.85,1493192448
5/11/2006,1322.63,1322.63,1303.45,1305.92,1743300224
5/12/2006,1305.88,1305.88,1290.38,1291.24,1685850112
5/15/2006,1291.19,1294.81,1284.51,1294.5,1579058304
