Date,Price
10/1/2013,1.029505
10/2/2013,1.032900
10/3/2013,1.032770
10/4/2013,1.031935
10/5/2013,1.030575
10/6/2013,1.029540
10/7/2013,1.029540
10/8/2013,1.031290
10/9/2013,1.034185
10/10/2013,1.039530
10/11/2013,1.038020
10/12/2013,1.038110
10/13/2013,1.035225
10/14/2013,1.035225
10/15/2013,1.035295
10/16/2013,1.037165
10/17/2013,1.034400
10/18/2013,1.028910
10/19/2013,1.028635
10/20/2013,1.028820
10/21/2013,1.028820
10/22/2013,1.029415
10/23/2013,1.028800
10/24/2013,1.037820
10/25/2013,1.042550
10/26/2013,1.044735
10/27/2013,1.045135
10/28/2013,1.045135
10/29/2013,1.044170
10/30/2013,1.046510
10/31/2013,1.046550
11/1/2013,1.043655
11/2/2013,1.043915
11/3/2013,1.042160
11/4/2013,1.042160
11/5/2013,1.041565
11/6/2013,1.044855
11/7/2013,1.042000
11/8/2013,1.044250
11/9/2013,1.048425
11/10/2013,1.047850
11/11/2013,1.047850
11/12/2013,1.047645
11/13/2013,1.049975
11/14/2013,1.046935
11/15/2013,1.049515
11/16/2013,1.046330
11/17/2013,1.043720
11/18/2013,1.043720
11/19/2013,1.042700
11/20/2013,1.046700
11/21/2013,1.044660
11/22/2013,1.050950
11/23/2013,1.052900
11/24/2013,1.051560
11/25/2013,1.051560
11/26/2013,1.055365
11/27/2013,1.054635
11/28/2013,1.059450
11/29/2013,1.058920
11/30/2013,1.059960
12/1/2013,1.061580
12/2/2013,1.061580
12/3/2013,1.063675
12/4/2013,1.066145
12/5/2013,1.069340
12/6/2013,1.063580
12/7/2013,1.065900
12/8/2013,1.064005
12/9/2013,1.064005
12/10/2013,1.064255
12/11/2013,1.062300
12/12/2013,1.061115
12/13/2013,1.064300
12/14/2013,1.060135
12/15/2013,1.058540
12/16/2013,1.058540
12/17/2013,1.057970
12/18/2013,1.061145
12/19/2013,1.064600
12/20/2013,1.068300
12/21/2013,1.067905
12/22/2013,1.063790
12/23/2013,1.063790
12/24/2013,1.060460
12/25/2013,1.061700
12/26/2013,1.063355
12/27/2013,1.064610
12/28/2013,1.069720
12/29/2013,1.070695
12/30/2013,1.070695
12/31/2013,1.063850
1/1/2014,1.062765
1/2/2014,1.062230
1/3/2014,1.063460
1/4/2014,1.061790
1/5/2014,1.063530
1/6/2014,1.063530
1/7/2014,1.066400
1/8/2014,1.074165
1/9/2014,1.080125
1/10/2014,1.085010
1/11/2014,1.092060
1/12/2014,1.089695
1/13/2014,1.089695
1/14/2014,1.087425
1/15/2014,1.093450
1/16/2014,1.093500
1/17/2014,1.092700
1/18/2014,1.095550
1/19/2014,1.096245
1/20/2014,1.096245
1/21/2014,1.096365
1/22/2014,1.097330
1/23/2014,1.107065
1/24/2014,1.113065
1/25/2014,1.106670
1/26/2014,1.108480
1/27/2014,1.108480
1/28/2014,1.109425
1/29/2014,1.114775
1/30/2014,1.114440
1/31/2014,1.117400
2/1/2014,1.112945
2/2/2014,1.113025
2/3/2014,1.113025
2/4/2014,1.107170
2/5/2014,1.105300
2/6/2014,1.109800
2/7/2014,1.106200
2/8/2014,1.101460
2/9/2014,1.103240
2/10/2014,1.103240
2/11/2014,1.104875
2/12/2014,1.102360
2/13/2014,1.099700
2/14/2014,1.098590
2/15/2014,1.097855
2/16/2014,1.098105
2/17/2014,1.098105
2/18/2014,1.096580
2/19/2014,1.095115
2/20/2014,1.104230
2/21/2014,1.110340
2/22/2014,1.113020
2/23/2014,1.111445
2/24/2014,1.111445
2/25/2014,1.105850
2/26/2014,1.107805
2/27/2014,1.111870
2/28/2014,1.114610
3/1/2014,1.107315
3/2/2014,1.106590
