2018-01-24 07:19:21.326 INFO:[Brokers\Ctp\ctpdatafeed.cpp,62][EliteQuant::ctpdatafeed::connectToMarketDataFeed]Ctp datasource connecting...!
2018-01-24 07:19:21.326 INFO:[Brokers\Ctp\ctpbrokerage.cpp,93][EliteQuant::ctpbrokerage::connectToBrokerage]Ctp brokerage connecting!
2018-01-24 07:19:21.326 INFO:[Services\Api\apiservice.cpp,44][EliteQuant::ApiServer::run]api server started.
2018-01-24 07:19:21.608 INFO:[Brokers\Ctp\ctpdatafeed.cpp,199][EliteQuant::ctpdatafeed::OnFrontConnected]Ctp data server is connected.
2018-01-24 07:19:21.608 INFO:[Brokers\Ctp\ctpbrokerage.cpp,285][EliteQuant::ctpbrokerage::OnFrontConnected]Ctp broker connected; Continue to login.
2018-01-24 07:19:28.332 INFO:[Brokers\Ctp\ctpdatafeed.cpp,168][EliteQuant::ctpdatafeed::requestUserLogin]Ctp data server logging in....
2018-01-24 07:19:28.582 INFO:[Brokers\Ctp\ctpdatafeed.cpp,228][EliteQuant::ctpdatafeed::OnRspUserLogin]Ctp data server user logged in; TradingDay=20180125, LoginTime=, BrokerID=, UserID=.
2018-01-24 07:19:28.598 ERROR:[Brokers\Ctp\ctpbrokerage.cpp,357][EliteQuant::ctpbrokerage::OnRspUserLogin]Ctp broker server user login failed: ErrorID=3, ErrorMsg=CTP:不合法的登录.
2018-01-24 07:19:28.848 INFO:[Brokers\Ctp\ctpdatafeed.cpp,253][EliteQuant::ctpdatafeed::OnRspSubMarketData]Ctp data server OnRspSubMarketData: InstrumentID=IC1802.
2018-01-24 07:19:29.098 INFO:[Brokers\Ctp\ctpdatafeed.cpp,253][EliteQuant::ctpdatafeed::OnRspSubMarketData]Ctp data server OnRspSubMarketData: InstrumentID=IC1803.
2018-01-24 07:19:29.098 INFO:[Brokers\Ctp\ctpdatafeed.cpp,253][EliteQuant::ctpdatafeed::OnRspSubMarketData]Ctp data server OnRspSubMarketData: InstrumentID=IF1803.
2018-01-24 07:19:29.098 INFO:[Brokers\Ctp\ctpdatafeed.cpp,253][EliteQuant::ctpdatafeed::OnRspSubMarketData]Ctp data server OnRspSubMarketData: InstrumentID=al1802.
2018-01-24 07:19:29.098 INFO:[Brokers\Ctp\ctpdatafeed.cpp,253][EliteQuant::ctpdatafeed::OnRspSubMarketData]Ctp data server OnRspSubMarketData: InstrumentID=al1803.
2018-01-24 07:19:29.098 INFO:[Brokers\Ctp\ctpdatafeed.cpp,253][EliteQuant::ctpdatafeed::OnRspSubMarketData]Ctp data server OnRspSubMarketData: InstrumentID=cu1802.
2018-01-24 07:19:29.098 INFO:[Brokers\Ctp\ctpdatafeed.cpp,253][EliteQuant::ctpdatafeed::OnRspSubMarketData]Ctp data server OnRspSubMarketData: InstrumentID=cu1803.
2018-01-24 07:19:29.098 INFO:[Brokers\Ctp\ctpdatafeed.cpp,253][EliteQuant::ctpdatafeed::OnRspSubMarketData]Ctp data server OnRspSubMarketData: InstrumentID=i1805.
2018-01-24 07:19:29.098 INFO:[Brokers\Ctp\ctpdatafeed.cpp,253][EliteQuant::ctpdatafeed::OnRspSubMarketData]Ctp data server OnRspSubMarketData: InstrumentID=y1805.
2018-01-24 07:19:29.098 INFO:[Brokers\Ctp\ctpdatafeed.cpp,253][EliteQuant::ctpdatafeed::OnRspSubMarketData]Ctp data server OnRspSubMarketData: InstrumentID=v1805.
2018-01-24 07:19:29.098 INFO:[Brokers\Ctp\ctpdatafeed.cpp,253][EliteQuant::ctpdatafeed::OnRspSubMarketData]Ctp data server OnRspSubMarketData: InstrumentID=sn1805.
2018-01-24 07:19:29.098 INFO:[Brokers\Ctp\ctpdatafeed.cpp,253][EliteQuant::ctpdatafeed::OnRspSubMarketData]Ctp data server OnRspSubMarketData: InstrumentID=ru1805.
