,EWA US Equity,EWC US Equity,cash,total,benchmark
2016-01-04,0,0,50000.0,50000.0,0
2016-01-05,-20004.120000000003,21090.0,48914.119999999995,49999.99999999999,0
2016-01-06,-19428.54,20630.0,48914.119999999995,50115.579999999994,0
2016-01-07,-18603.18,20140.0,48914.119999999995,50450.939999999995,0
2016-01-08,-18331.68,20050.0,48914.119999999995,50632.439999999995,0
2016-01-11,18704.98,-19780.0,51285.42,50210.399999999994,0
2016-01-12,18814.88,-19820.0,51285.42,50280.3,0
2016-01-13,18485.18,-19380.0,51285.42,50390.6,0
2016-01-14,18869.83,-19630.0,51285.42,50525.25,0
2016-01-15,-17875.0,18970.0,49079.17,50174.17,0
2016-01-19,17821.440000000002,-18890.0,50733.729999999996,49665.17,0
2016-01-20,17757.179999999997,-18650.0,50733.729999999996,49840.90999999999,0
2016-01-21,-18150.6,19250.0,48484.229999999996,49583.63,0
2016-01-22,-18483.54,20010.0,48484.229999999996,50010.689999999995,0
2016-01-25,18396.84,-19480.0,50853.829999999994,49770.67,0
2016-01-26,0.0,0.0,49589.91,49589.91,0
2016-01-27,-18969.9,20060.0,48499.81,49589.909999999996,0
2016-01-28,-19313.112,20540.0,48499.81,49726.698,0
2016-01-29,-19580.4,20910.0,48499.81,49829.409999999996,0
2016-02-01,0.0,0.0,49696.11,49696.11,0
2016-02-02,0.0,0.0,49696.11,49696.11,0
2016-02-03,-19796.350000000002,20900.0,48592.46000000001,49696.11,0
2016-02-04,-20138.649999999998,21260.0,48592.46000000001,49713.81000000001,0
2016-02-05,-19613.79,20980.0,48592.46000000001,49958.670000000006,0
2016-02-08,19505.120000000003,-20580.0,50656.37,49581.490000000005,0
2016-02-09,19130.24,-20200.0,50656.37,49586.61,0
2016-02-10,19062.08,-19990.0,50656.37,49728.450000000004,0
2016-02-11,18993.92,-19800.0,50656.37,49850.29,0
2016-02-12,-19311.600000000002,20410.0,48391.81,49490.20999999999,0
2016-02-16,0.0,0.0,49367.009999999995,49367.009999999995,0
2016-02-17,-20451.2,21550.0,48268.20999999999,49367.009999999995,0
2016-02-18,0.0,0.0,49287.28999999999,49287.28999999999,0
2016-02-19,20210.14,-21300.0,50377.149999999994,49287.28999999999,0
2016-02-22,20772.17,-21450.0,50377.149999999994,49699.31999999999,0
2016-02-23,0.0,0.0,49579.34,49579.34,0
2016-02-24,-20129.1,21230.0,48478.44,49579.340000000004,0
2016-02-25,-20152.0,21490.0,48478.44,49816.44,0
2016-02-26,-19808.5,21630.0,48478.44,50299.94,0
2016-02-29,-19785.600000000002,21630.0,48478.44,50322.84,0
2016-03-01,21015.52,-22110.0,51256.12,50161.64,0
2016-03-02,21628.079999999998,-22150.0,51256.12,50734.2,0
2016-03-03,22052.16,-22390.0,51256.12,50918.28,0
2016-03-04,22440.9,-22620.0,51256.12,51077.020000000004,0
2016-03-07,0.0,0.0,50975.08,50975.08,0
