,amount,price,symbol
2016-01-05,-1086,18.42,EWA US Equity
2016-01-05,1000,21.09,EWC US Equity
2016-01-11,2185,17.02,EWA US Equity
2016-01-11,-2000,19.78,EWC US Equity
2016-01-15,-2199,16.25,EWA US Equity
2016-01-15,2000,18.97,EWC US Equity
2016-01-19,2171,16.64,EWA US Equity
2016-01-19,-2000,18.89,EWC US Equity
2016-01-21,-2145,16.9,EWA US Equity
2016-01-21,2000,19.25,EWC US Equity
2016-01-25,2160,16.94,EWA US Equity
2016-01-25,-2000,19.48,EWC US Equity
2016-01-26,-1086,17.28,EWA US Equity
2016-01-26,1000,20.03,EWC US Equity
2016-01-27,-1110,17.09,EWA US Equity
2016-01-27,1000,20.06,EWC US Equity
2016-02-01,1110,17.67,EWA US Equity
2016-02-01,-1000,20.81,EWC US Equity
2016-02-03,-1141,17.35,EWA US Equity
2016-02-03,1000,20.9,EWC US Equity
2016-02-08,2277,17.17,EWA US Equity
2016-02-08,-2000,20.58,EWC US Equity
2016-02-12,-2276,16.94,EWA US Equity
2016-02-12,2000,20.41,EWC US Equity
2016-02-16,1140,17.32,EWA US Equity
2016-02-16,-1000,20.72,EWC US Equity
2016-02-17,-1162,17.6,EWA US Equity
2016-02-17,1000,21.55,EWC US Equity
2016-02-18,1162,17.66,EWA US Equity
2016-02-18,-1000,21.54,EWC US Equity
2016-02-19,1147,17.62,EWA US Equity
2016-02-19,-1000,21.3,EWC US Equity
2016-02-23,-1147,17.77,EWA US Equity
2016-02-23,1000,21.18,EWC US Equity
2016-02-24,-1145,17.58,EWA US Equity
2016-02-24,1000,21.23,EWC US Equity
2016-03-01,2323,17.84,EWA US Equity
2016-03-01,-2000,22.11,EWC US Equity
2016-03-07,-1178,19.32,EWA US Equity
2016-03-07,1000,23.04,EWC US Equity
2016-03-15,-1148,19.07,EWA US Equity
2016-03-15,1000,22.99,EWC US Equity
2016-03-17,1148,19.94,EWA US Equity
2016-03-17,-1000,23.95,EWC US Equity
2016-03-29,-1162,19.24,EWA US Equity
2016-03-29,1000,23.47,EWC US Equity
2016-03-31,1162,19.32,EWA US Equity
2016-03-31,-1000,23.71,EWC US Equity
2016-04-05,-1194,18.4,EWA US Equity
2016-04-05,1000,23.08,EWC US Equity
2016-04-06,2374,18.8,EWA US Equity
2016-04-06,-2000,23.28,EWC US Equity
2016-04-07,-2370,18.41,EWA US Equity
2016-04-07,2000,23.02,EWC US Equity
2016-04-12,1190,19.19,EWA US Equity
2016-04-12,-1000,24.28,EWC US Equity
2016-04-13,1195,19.49,EWA US Equity
2016-04-13,-1000,24.38,EWC US Equity
2016-04-19,-1195,20.44,EWA US Equity
2016-04-19,1000,24.98,EWC US Equity
2016-04-22,-1182,20.26,EWA US Equity
2016-04-22,1000,25.06,EWC US Equity
2016-04-25,1182,20.15,EWA US Equity
2016-04-25,-1000,24.89,EWC US Equity
2016-04-27,-1214,19.81,EWA US Equity
2016-04-27,1000,25.18,EWC US Equity
2016-05-02,2417,20.08,EWA US Equity
2016-05-02,-2000,25.25,EWC US Equity
2016-05-06,-1203,19.47,EWA US Equity
2016-05-06,1000,24.18,EWC US Equity
2016-05-09,1172,19.37,EWA US Equity
2016-05-09,-1000,23.8,EWC US Equity
2016-05-11,-1172,19.73,EWA US Equity
2016-05-11,1000,24.34,EWC US Equity
2016-05-25,-1205,19.49,EWA US Equity
2016-05-25,1000,24.61,EWC US Equity
