Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price,PriceMovement
15764.45,16480.52,14484,15364.93,15643.75,241860985.1,15460.55,2
15390.05,15474.19,13500,14470.07,16557.22,234428578.5,14158.69,1
14436.99,15111,13998,14340,13505.7,195727638.8,14492.22,2
14351,14463.28,12050,12640,21749.67,285985550.3,13148.96,0
12640,14296.06,12491.21,13880,11583.42,154552644.5,13342.58,2
13880,13941.75,12801.38,13443.41,7688.03,102815718.5,13373.48,0
13394.2,15257.53,12910.58,14678.94,16299.67,229138844.1,14057.88,0
14670.96,15500,14546.28,15155.62,12275,183639413.7,14960.44,1
15155.62,15430.27,14192.37,15143.67,15004.02,222160244.5,14806.72,0
15143.67,17200,14810,16928,16248.91,259695892.9,15982.35,0
16927.99,17234.99,16220,17149.67,9501.02,158389594.5,16670.8,2
17142.43,17149.97,15707.16,16124.02,8632.81,141555094.2,16397.33,2
16173.98,16300,13900,14999.99,16676.35,251877784.1,15103.89,2
14999.99,15367.18,14123.97,14403.51,13913.52,204579121.6,14703.62,0
14403.51,14900,13412,14890.02,18479.01,261210687,14135.53,2
14899.99,14973.07,12800,13243.83,19630.08,266846190.8,13593.74,0
13249.99,14152.19,12807.27,13781.41,13433.08,183399343.5,13652.81,0
13829.28,14619.1,13789.42,14197.78,7488.99,106595650.1,14233.65,2
14197.78,14365.81,13072.22,13647.99,7588.64,102783826.7,13544.44,1
13647.99,14394.36,13429.25,13607.04,9444.64,131049852.4,13875.59,2
13581.66,13607.04,10162,11386.34,38789.88,457725763.4,11800.13,2
11393.97,11794.07,9222,11191.35,41356.19,433168120.1,10474.08,1
11199,12146,10693,11247.57,22195.26,256082650,11537.72,0
11290.9,12050.39,11025.18,11552,13203.26,151834406.4,11499.77,0
11560.82,13052.12,11515.94,12775.99,10324.06,128912075.5,12486.57,2
12782.99,12791.88,11100,11558.87,11596.44,137150604.6,11826.96,2
11558.87,11910.78,10028.41,10808.99,17067.73,186028930.6,10899.45,1
10810,11409.87,9927.54,10851.82,17250.18,184369293.7,10687.97,0
10848.99,11500,10488.13,11400.96,11646.79,128825119.7,11061,2
11400.98,11741.82,10868.57,11155.54,10212.92,115421975,11301.56,1
11140.01,11635,10263.32,11092.95,15074.67,164020352.5,10880.53,0
11093.74,11630.47,10815.84,11446.54,10309.81,116376809.5,11287.97,0
11446.54,11989.15,11360.52,11685.58,9956.09,116531522.5,11704.54,2
11685.58,11820.01,10991,11162.62,9996.36,112806531.8,11284.76,2
11162.62,11222.36,9731.2,9971,21082.19,219169216.4,10395.94,0
9971,10324,9514.96,10149,12743.51,126723437.3,9944.16,2
10148.99,10187.56,8455,8998.99,26356.59,243067799.6,9222.28,2
9010.87,9096.79,7625.25,8838.83,44406.02,373423805.1,8409.31,0
8838.29,9491.2,8170.71,9225.86,16208.37,144713399.5,8928.31,2
9225.31,9350.09,7825,8191,19110.67,162005632.6,8477.23,2
8190.78,8335.56,6600,6874.27,46544.43,342210634.7,7352.34,0
6878.65,8150,5920.72,7737.37,70961.37,487504446,6870,2
7737.26,8649,7213.8,7588.01,32640.89,260674865.8,7986.14,0
7588.01,8644.36,7565.5,8259.76,22746.39,187157997.7,8228.03,0
