,Open,High,Low,Close,VolumeBTC,VolumeCurrency,WeightedPrice,candlecolor,engulfing,stochRSI,SMA10Close,SMA20Close,SMA50Close,SMA100Close,SMA200Close,IchimokuconversionLine,IchimokuBaseline,IchimokuLeadingSpanA,IchimokuLeadingSpanB,IchimokuLaggingSpan,IchimokuCloudSpan,DistanceLeadingSpanA,DistanceLeadingSpanB,ConversionLineBaseLine,AverageTrueRange,SupportLine1,SupportLine2,SupportLine3,SupportSlope1,SupportSlope2,SupportSlope3,ResistantLine1,ResistantLine2,ResistantLine3,ResistanceSlope1,ResistanceSlope2,ResistanceSlope3,CategoricalIncrease
3453,788.34,794.39,788.32,790.7,0.041971598,2143961.0,792.12,-1.0,1.0,0.4713458,0.010222551,0.016254587,0.03934411,0.06457027,0.13840842,0.98756164,0.9746174,0.98108953,0.9575503,0.95860624,0.023539253,789.71893,789.74243,0.0129442075,9.140015,0.9237442,0.9237442,0.9237442,5.23886e-07,5.23886e-07,5.23886e-07,0.8215396,0.91883886,0.94807416,-9.9774425e-06,-3.191348e-06,-1.0506976e-06,0
3454,791.0,791.73,787.01,791.0,0.018782852,956687.9,789.83,1.0,0.0,0.759158,0.009106168,0.015336352,0.038265742,0.06383761,0.13767195,0.98950064,0.97685844,0.9831795,0.9578951,0.95951957,0.02528445,790.01685,790.0421,0.012642225,8.856445,0.92427504,0.92427504,0.92427504,5.236873e-07,5.236873e-07,5.236873e-07,1.0042857,0.9850953,0.9743479,-2.4243793e-06,-2.2849847e-06,-1.6615977e-06,0
3455,791.03,793.0,787.69,792.81,0.020801105,1061577.0,791.38,-1.0,0.0,0.61991704,0.009613855,0.01623279,0.039064664,0.06479208,0.13857257,0.98739296,0.9751202,0.98125654,0.9557082,0.9598769,0.025548372,791.82874,791.8543,0.012272777,8.942871,0.9230449,0.9230449,0.9230449,5.224917e-07,5.224917e-07,5.224917e-07,0.99757826,0.9787645,0.97538954,-2.4188446e-06,-2.279768e-06,-1.0752751e-06,0
3456,792.96,803.0,787.1,798.65,0.043066237,2206128.2,794.35,1.0,0.0,0.45022386,0.015040364,0.022117982,0.044637367,0.070405945,0.14380178,0.98017275,0.973762,0.97696733,0.9487197,0.95660174,0.028247664,797.67303,797.7013,0.006410812,7.3100104,0.9171697,0.9171697,0.9171697,5.186711e-07,5.186711e-07,5.186711e-07,0.9859205,0.9675722,0.96670645,-2.401157e-06,-2.2630975e-06,-1.039438e-06,1
3457,798.83,810.0,796.82,809.89,0.04447675,2314605.5,806.97,1.0,0.0,0.7563542,0.025899814,0.03406143,0.056375634,0.08205234,0.15449707,0.9761202,0.9663596,0.9712399,0.9408685,0.95028955,0.030371413,808.91876,808.94916,0.009760546,7.7828674,0.9053039,0.9053039,0.9053039,5.114727e-07,5.114727e-07,5.114727e-07,0.9914926,0.9914926,0.9914926,-6.719873e-06,-6.719873e-06,-6.719873e-06,1
3458,808.19,834.97,808.05,832.75,0.10114872,5353283.0,820.67,1.0,0.0,0.872778,0.049081896,0.058141675,0.08034018,0.10626979,0.17648548,0.9546683,0.9450675,0.9498679,0.91924345,0.9208526,0.03062444,831.8001,831.83075,0.009600715,8.153582,0.8812924,0.8812924,0.8812924,4.9743215e-07,4.9743215e-07,4.9743215e-07,0.97268087,0.97268087,0.97268087,-4.526537e-06,-4.526537e-06,-4.526537e-06,1
3459,832.02,875.0,827.29,860.31,0.107541054,5905616.0,851.5,1.0,0.0,1.0,0.07356648,0.08460731,0.10741059,0.13366657,0.2015607,0.9385977,0.92930454,0.93395114,0.9043077,0.8953401,0.029643387,859.37604,859.4057,0.009293156,9.34358,0.85387427,0.85387427,0.85387427,4.8149695e-07,4.8149695e-07,4.8149695e-07,0.9705455,0.9705455,0.9705455,-1.5326845e-05,-1.5326845e-05,-1.5326845e-05,0
3460,861.03,870.0,856.0,859.96,0.07961638,4425893.5,861.94,1.0,0.0,1.0,0.0645856,0.079505496,0.10396071,0.13174006,0.19976531,0.96225405,0.9529571,0.95760554,0.9279501,0.8948904,0.029655451,859.00244,859.03204,0.009296938,12.184296,0.8550369,0.8550369,0.8550369,4.816929e-07,4.816929e-07,4.816929e-07,1.0174892,1.0174892,1.0174892,-2.3649001e-05,-2.3649001e-05,-2.3649001e-05,1
3461,858.94,913.41,858.93,905.24,0.15272874,8824533.0,895.86,-1.0,1.0,1.0,0.10348301,0.12096078,0.14584996,0.1738673,0.23839827,0.9141222,0.9052903,0.9097063,0.88153416,0.85271305,0.02817209,904.33026,904.35846,0.008831907,12.75858,0.81304324,0.81304324,0.81304324,4.575987e-07,4.575987e-07,4.575987e-07,0.9223741,0.8870576,0.81874394,-2.2466083e-05,-9.3650915e-06,-9.611735e-06,0
3462,905.23,920.0,876.11,914.0,0.10350965,6012525.0,900.58,1.0,0.0,1.0,0.0995645,0.122383475,0.150223,0.17999914,0.24407421,0.93020785,0.9176258,0.9239168,0.8940973,0.8449453,0.029819481,913.0761,913.1059,0.012582057,16.002865,0.80601925,0.80601925,0.80601925,4.5321298e-07,4.5321298e-07,4.5321298e-07,0.9993545,0.9993545,0.9993545,-2.313621e-05,-2.313621e-05,-2.313621e-05,0
