,Open,High,Low,Close,VolumeBTC,VolumeCurrency,WeightedPrice,candlecolor,engulfing,stochRSI,SMA10Close,SMA20Close,SMA50Close,SMA100Close,SMA200Close,IchimokuconversionLine,IchimokuBaseline,IchimokuLeadingSpanA,IchimokuLeadingSpanB,IchimokuLaggingSpan,IchimokuCloudSpan,DistanceLeadingSpanA,DistanceLeadingSpanB,ConversionLineBaseLine,AverageTrueRange,SupportLine1,SupportLine2,SupportLine3,SupportSlope1,SupportSlope2,SupportSlope3,ResistantLine1,ResistantLine2,ResistantLine3,ResistanceSlope1,ResistanceSlope2,ResistanceSlope3,CategoricalIncrease
1820,777.0,793.27,765.1,775.35,0.14142282,3828369.0,778.31,1.0,0.0,1.0,0.013281744,0.02982395,0.062722124,0.13433997,0.16767627,0.9814922,0.962791,0.9721416,0.90769976,0.94826853,0.06444187,774.37787,774.4423,0.018701231,13.685,0.7712906,0.7712906,0.7712906,6.79595e-08,6.79595e-08,6.79595e-08,1.0047076,1.0047076,1.0047076,-4.852866e-06,-4.852866e-06,-4.852866e-06,0
1821,775.75,781.0,770.74,777.09,0.067082554,1812395.4,776.73,-1.0,0.0,0.98064786,0.0136123225,0.029733364,0.061558634,0.13406967,0.16758844,0.9884762,0.96981686,0.97914654,0.92220336,0.9638266,0.05694321,776.11084,776.1678,0.018659357,14.819285,0.80587393,0.80587393,0.80587393,3.7742552e-07,3.7742552e-07,3.7742552e-07,1.0208212,1.0208212,1.0208212,-1.0144993e-05,-1.0144993e-05,-1.0144993e-05,0
1822,777.03,779.08,771.0,775.89,0.087388694,2360816.8,776.63,1.0,0.0,1.0,0.010141902,0.02556097,0.05688203,0.13049285,0.16464047,0.9932207,0.9713168,0.98226875,0.92362964,0.9675985,0.058639113,774.9077,774.9664,0.021903878,14.302857,0.8076656,0.8076656,0.8076656,3.7800925e-07,3.7800925e-07,3.7800925e-07,1.0040083,0.99771875,0.9885975,-1.0160684e-05,-1.7587349e-06,-1.00934e-06,0
1823,776.3,782.46,771.24,781.32,0.09991636,2706428.2,778.66,-1.0,0.0,0.94497126,0.0137382895,0.029848846,0.060856756,0.13438898,0.16879466,0.9887434,0.96456635,0.9766549,0.91913044,0.9305918,0.057524446,780.3433,780.4009,0.024177033,13.822857,0.8025943,0.8025943,0.8025943,3.7538217e-07,3.7538217e-07,3.7538217e-07,0.9790952,0.9876766,0.9841464,-1.0090069e-05,-1.7465121e-06,-6.0724284e-07,0
1824,781.32,790.88,780.36,788.52,0.068693385,1878367.2,786.01,1.0,0.0,0.75967175,0.01991072,0.03544742,0.06698169,0.14018567,0.17477584,0.98637956,0.96019757,0.9732886,0.91624814,0.93435806,0.057040405,787.5467,787.60376,0.02618196,12.674286,0.79580307,0.79580307,0.79580307,3.7195454e-07,3.7195454e-07,3.7195454e-07,0.9527031,0.9755879,0.9709477,-9.997936e-06,-1.7305647e-06,-8.563594e-07,0
1825,788.3,790.99,780.0,788.67,0.07241241,1983165.4,787.21,1.0,0.0,0.49976718,0.016986826,0.03175092,0.06455704,0.13828433,0.1733055,0.9872824,0.96001494,0.97364867,0.9248862,0.94997907,0.048762474,787.69635,787.7451,0.027267424,12.098572,0.7961892,0.7961892,0.7961892,3.718838e-07,3.718838e-07,3.718838e-07,0.9353872,0.9723424,0.96042794,-9.996034e-06,-1.7302356e-06,-1.4859262e-06,0
1826,788.34,794.39,787.01,791.0,0.1126096,3100648.8,791.41,1.0,0.0,0.18099126,0.01712263,0.03086536,0.06535196,0.13871567,0.1741495,0.9843742,0.9571871,0.9707807,0.9251517,0.9357522,0.04562895,790.02924,790.0748,0.027187105,12.129286,0.7943802,0.7943802,0.7943802,3.7078837e-07,3.7078837e-07,3.7078837e-07,0.91585493,0.9664368,0.9574657,-9.96659e-06,-1.7251389e-06,-1.325417e-06,0
1827,791.03,803.0,787.1,798.65,0.11837402,3267705.5,793.38,1.0,0.0,0.8796891,0.023854004,0.036377013,0.071956426,0.14484517,0.18047611,0.9756464,0.94871974,0.96218306,0.9169912,0.92109185,0.045191888,797.6878,797.73303,0.026926689,11.292857,0.7873026,0.7873026,0.7873026,3.672367e-07,3.672367e-07,3.672367e-07,0.994666,0.9754962,0.95669574,-2.3324053e-06,-4.0872333e-06,-2.6456248e-06,1
1828,798.83,834.97,796.82,832.75,0.26989585,7667889.0,816.48,1.0,0.0,0.99817115,0.060659263,0.07243831,0.1075175,0.17755304,0.2126613,0.9415191,0.91504055,0.9282798,0.88461125,0.8851036,0.043668568,831.8217,831.8654,0.026478535,11.577857,0.7555737,0.7555737,0.7555737,3.5219887e-07,3.5219887e-07,3.5219887e-07,0.964275,0.964275,0.964275,-5.6220674e-06,-5.6220674e-06,-5.6220674e-06,1
1829,832.02,875.0,827.29,859.96,0.34683284,10331510.0,855.94,1.0,0.0,1.0,0.08296432,0.09706556,0.13328783,0.20096307,0.23606789,0.9303165,0.9046758,0.91749614,0.87520933,0.84877205,0.04228685,859.0425,859.0848,0.025640728,13.029285,0.73216087,0.73216087,0.73216087,3.4105494e-07,3.4105494e-07,3.4105494e-07,0.97094053,0.97094053,0.97094053,-1.9716414e-05,-1.9716414e-05,-1.9716414e-05,1
