Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price,PriceMovement
12/20/2011 0:00,4.75,4.75,4.53,4.55,94.74,432.98,4.57,2
12/21/2011 0:00,4.38,4.38,4.38,4.38,20.9,91.54,4.38,2
12/22/2011 0:00,4.19,4.19,4.17,4.17,8.54,35.71,4.18,0
12/23/2011 0:00,3.86,4.35,3.84,4.22,149.49,625.81,4.19,0
12/24/2011 0:00,4.33,4.33,4.33,4.33,27.22,117.88,4.33,2
12/25/2011 0:00,4.32,4.32,4.27,4.27,24.18,104.08,4.3,0
12/26/2011 0:00,4.27,4.33,4.27,4.33,56.74,243.74,4.3,1
12/27/2011 0:00,4.33,4.33,4.29,4.29,58.07,250.34,4.31,1
12/28/2011 0:00,4.29,4.3,4.25,4.3,35.55,151.72,4.27,0
12/29/2011 0:00,4.3,4.5,4.3,4.5,36.56,158.98,4.35,2
12/30/2011 0:00,4.26,4.5,4.21,4.21,56.74,240.14,4.23,0
12/31/2011 0:00,4.39,4.58,4.39,4.58,95.32,425.32,4.46,0
1/1/2012 0:00,4.58,5,4.58,5,21.6,105.78,4.9,1
1/2/2012 0:00,5,5,5,5,19.05,95.24,5,0
1/3/2012 0:00,5.32,5.32,5.14,5.29,88.04,464.81,5.28,0
1/4/2012 0:00,4.93,5.57,4.93,5.57,107.23,568.08,5.3,0
1/5/2012 0:00,5.72,6.65,5.72,6.65,94.8,587.73,6.2,2
1/6/2012 0:00,6.65,6.9,6,6,33.88,222.81,6.58,0
1/7/2012 0:00,6.8,6.8,6.8,6.8,0.3,2.01,6.8,0
1/8/2012 0:00,6.9,7,6.9,7,5,34.6,6.92,2
1/9/2012 0:00,6.99,6.99,6.23,6.3,66.87,443.04,6.63,0
1/10/2012 0:00,6.24,7.14,6.24,7.14,62.29,413.2,6.63,2
1/11/2012 0:00,7.14,7.33,6.25,7,105.36,743.01,7.05,2
1/12/2012 0:00,6.95,7.38,6.51,6.51,82.3,598.06,7.27,0
1/13/2012 0:00,6.8,7.36,6.6,6.6,48.97,344.94,7.04,2
1/14/2012 0:00,6.5,6.5,6.3,6.3,16.84,108.49,6.44,0
1/15/2012 0:00,7.15,7.15,7.15,7.15,16.7,119.4,7.15,1
