Open,High,Low,Close,VolumeBTC,VolumeCurrency,WeightedPrice
4.72,4.83,4.62,4.83,191.54,920.23,4.8
4.61,4.61,4.61,4.61,1.3,5.99,4.61
4.84,4.84,4.54,4.54,14.17,64.91,4.58
4.6,4.66,4.55,4.66,29.98,136.73,4.56
4.54,4.75,4.54,4.73,34.78,158.97,4.57
4.54,4.78,4.54,4.77,104.9,490.78,4.68
4.78,4.97,4.69,4.84,264.69,1278.58,4.83
4.75,4.95,4.72,4.95,176.41,844.03,4.78
4.77,4.94,4.76,4.93,242.24,1188.71,4.91
4.93,4.93,4.8,4.8,20.51,100.01,4.88
4.8,4.9,4.77,4.84,89.88,434.79,4.84
4.81,4.91,4.76,4.91,109.57,530.65,4.84
4.9,4.91,4.76,4.88,51.83,253.31,4.89
4.9,4.92,4.9,4.9,98.03,481.41,4.91
4.9,4.92,4.89,4.9,60.35,296.24,4.91
4.89,4.89,4.8,4.82,80.37,386.56,4.81
4.8,4.89,4.77,4.89,228.14,1092.15,4.79
4.8,4.87,4.78,4.81,61.32,296.28,4.83
4.81,5.04,4.81,5.04,827.26,4080.9,4.93
5.04,5.04,4.9,5,58.84,294.28,5
4.86,4.99,4.86,4.99,185.47,920.08,4.96
4.92,4.92,4.91,4.92,141.56,695.79,4.92
4.95,5.01,4.86,5.01,163.87,805.49,4.92
4.99,5.02,4.89,4.89,106.46,522.77,4.91
4.94,5.04,4.89,5,294.4,1467.53,4.98
4.9,4.95,4.81,4.92,567.73,2759.66,4.86
4.95,4.99,4.94,4.99,158.23,784.19,4.96
4.94,4.94,4.89,4.92,60.78,298.52,4.91
4.87,4.91,4.7,4.7,167.87,797.1,4.75
4.8,4.8,4.69,4.7,29.82,141.23,4.74
4.76,4.8,4.73,4.76,147.4,700.79,4.75
4.7,4.7,4.7,4.7,2.4,11.28,4.7
4.78,4.85,4.75,4.75,156.16,745.64,4.77
4.75,4.84,4.75,4.84,168.93,812.17,4.81
4.85,4.87,4.8,4.8,145.89,703.37,4.82
4.86,4.86,4.78,4.84,49.5,239.05,4.83
4.83,4.92,4.83,4.92,376.1,1834.05,4.88
4.87,4.91,4.73,4.91,264.04,1266.8,4.8
4.86,4.93,4.84,4.93,492.75,2401.16,4.87
4.88,4.95,4.81,4.88,351.53,1720.99,4.9
4.88,4.93,4.84,4.93,750.74,3674.34,4.89
4.94,5.01,4.94,4.95,380.94,1895.83,4.98
4.95,5,4.95,4.96,163.71,811.98,4.96
4.96,4.96,4.94,4.96,38.93,192.56,4.95
4.95,4.99,4.92,4.99,76.04,377.35,4.96
4.93,4.96,4.93,4.96,72.45,358.47,4.95
4.97,4.98,4.94,4.98,414.56,2055.7,4.96
4.99,4.99,4.99,4.99,127.18,634.61,4.99
4.99,4.99,4.95,4.98,155.34,772.77,4.97
4.98,5.14,4.98,5.14,431.21,2188.32,5.07
5.15,5.18,5.11,5.16,408.72,2096.74,5.13
5.17,5.18,5.06,5.15,325.98,1662.52,5.1
5.1,5.16,5.1,5.13,236.67,1214.91,5.13
5.15,5.17,5.11,5.17,155.61,799.85,5.14
5.18,5.38,5.09,5.38,217.22,1127.16,5.19
5.4,5.43,5.32,5.32,86.86,466.57,5.37
5.29,5.29,5.19,5.24,215.08,1120.75,5.21
5.24,5.24,5.21,5.21,28.75,150.05,5.22
5.21,5.25,5.17,5.17,110.82,577.24,5.21
5.2,5.25,5.17,5.2,138.32,718.59,5.2
5.17,5.18,5,5,809.14,4155.34,5.14
4.99,5.15,4.98,5.15,1425.94,7232.18,5.07
5.11,5.15,5.08,5.08,549.9,2813.32,5.12
5.12,5.13,5.06,5.11,227.72,1166.34,5.12
5.12,5.14,4.86,5.14,1406.49,7028.66,5
5.1,5.12,5.05,5.12,99.67,508.29,5.1
5.11,5.12,4.86,4.98,662.46,3319.12,5.01
5.03,5.08,5.03,5.08,21.64,109.56,5.06
5,5.04,4.99,5.04,696.38,3488.5,5.01
5.07,5.07,4.91,4.99,122.38,612.41,5
4.96,4.96,4.85,4.91,82.64,404.48,4.89
4.92,4.96,4.81,4.9,55.83,272.24,4.88
4.91,4.91,4.91,4.91,7.05,34.62,4.91
4.92,4.97,4.9,4.97,142.84,701.25,4.91
4.95,5.02,4.87,5,347.74,1725.29,4.96
4.94,4.94,4.86,4.94,212.48,1042.56,4.91
4.94,5.04,4.94,4.97,619.26,3094.74,5
5.01,5.14,5.01,5.14,443.8,2251.17,5.07
5.15,5.15,5.06,5.06,51.52,262.45,5.09
5.06,5.13,5.05,5.13,361.69,1845.09,5.1
5.13,5.13,5.1,5.1,283.4,1448.65,5.11
5.1,5.15,5.07,5.12,550.21,2813.68,5.11
5.12,5.15,5.07,5.07,225.83,1155.75,5.12
5.09,5.11,5.07,5.11,186.1,947.6,5.09
5.08,5.08,5.04,5.04,229.47,1157.59,5.04
5.06,5.1,5.02,5.1,1100.87,5559.72,5.05
5.05,5.1,5.05,5.08,133.18,675.48,5.07
5.05,5.05,4.97,5.05,593.96,2982.67,5.02
5.06,5.08,5.05,5.05,280.52,1419.85,5.06
5.06,5.08,4.99,5.06,433.75,2189.26,5.05
5.07,5.07,5.02,5.02,206.81,1043.12,5.04
5.02,5.08,5.01,5.05,126.31,637.23,5.04
5.06,5.07,5.02,5.02,223.97,1127.68,5.04
5.02,5.02,4.9,5.02,695.09,3472.56,5
5.04,5.04,4.87,4.87,212.03,1054.58,4.97
4.97,4.97,4.87,4.87,79.57,392.28,4.93
4.92,4.95,4.9,4.95,334.26,1646.52,4.93
4.95,4.97,4.95,4.97,25.83,128.21,4.96
4.97,4.97,4.91,4.91,193.5,952.42,4.92
4.95,4.95,4.95,4.95,28.46,140.86,4.95
4.94,4.95,4.94,4.94,367.01,1813.43,4.94
4.93,4.93,4.91,4.91,50.27,247.26,4.92
4.92,4.99,4.88,4.93,668.46,3293.6,4.93
4.95,4.98,4.95,4.96,88.82,440.12,4.96
4.96,5.01,4.9,4.95,512.18,2543.2,4.97
5,5.03,4.98,5.03,130.52,652.92,5
5.03,5.04,5.03,5.04,47.51,239.17,5.03
5.02,5.03,5.02,5.03,374.07,1879.1,5.02
5.02,5.03,5.01,5.02,237.14,1192.41,5.03
5.03,5.05,5.03,5.03,577.92,2917.51,5.05
5.04,5.07,5.04,5.07,334.61,1690.26,5.05
5.08,5.08,5.05,5.05,48.91,247.99,5.07
5.07,5.07,5.05,5.07,119.09,603.58,5.07
5.03,5.03,5.03,5.03,1.17,5.9,5.03
5.08,5.08,5.03,5.03,25.23,128.07,5.08
5.04,5.08,5.01,5.04,86.06,433.43,5.04
5.08,5.09,5.01,5.08,268,1357.91,5.07
5.05,5.07,5,5.07,424.76,2149.25,5.06
5.07,5.07,5.03,5.03,253.31,1275.84,5.04
5.02,5.1,5.02,5.04,432.92,2191.25,5.06
5.05,5.1,5.04,5.1,125.23,635.27,5.07
5.08,5.12,5.04,5.11,729.11,3709.19,5.09
5.08,5.12,5.08,5.12,175.63,897.93,5.11
5.09,5.1,5.09,5.09,58.85,299.63,5.09
5.09,5.09,5.08,5.08,216.06,1098.97,5.09
5.08,5.09,5.08,5.09,370.11,1883.56,5.09
5.07,5.08,5.06,5.07,18.6,94.32,5.07
5.08,5.08,5.07,5.07,348.01,1767.03,5.08
5.07,5.08,5,5.07,565.52,2849.76,5.04
5.08,5.08,5.07,5.08,41.56,211.07,5.08
5.08,5.08,5.07,5.07,139.13,706.62,5.08
5.07,5.09,5.04,5.09,609.7,3097.86,5.08
5.09,5.12,4.95,5.11,731.82,3703.91,5.06
5.07,5.13,5.07,5.09,185.26,946.83,5.11
5.09,5.14,5.08,5.14,563.15,2885.06,5.12
5.14,5.14,5.1,5.14,714.66,3668.82,5.13
5.14,5.17,5.1,5.17,387.98,1986.49,5.12
5.17,5.23,5.16,5.23,131.07,680.82,5.19
5.23,5.24,5.16,5.22,342.6,1786.74,5.22
5.2,5.2,5.19,5.19,72.04,374.58,5.2
5.19,5.21,5.17,5.19,120.39,625.03,5.19
5.19,5.19,5.19,5.19,2.02,10.5,5.19
5.2,5.2,5.19,5.19,12.31,63.94,5.19
5.18,5.22,5.14,5.22,932.14,4824.46,5.18
5.23,5.24,5.14,5.22,426.98,2222.05,5.2
5.22,5.49,5.22,5.41,474.59,2527.48,5.33
5.46,5.47,5.33,5.37,454.61,2455.81,5.4
5.39,5.49,5.37,5.45,409.2,2220.11,5.43
5.45,5.48,5.41,5.41,361.64,1970.86,5.45
5.41,5.47,5.4,5.46,264.17,1439.15,5.45
5.47,5.53,5.43,5.53,1148.7,6293.17,5.48
5.48,5.62,5.46,5.62,893.03,4943.09,5.54
5.55,5.63,5.55,5.61,504.42,2832.95,5.62
5.6,5.61,5.6,5.61,41.94,234.88,5.6
5.6,5.62,5.47,5.48,311.72,1736.38,5.57
5.54,5.54,5.49,5.53,28.81,158.45,5.5
5.53,5.53,5.42,5.42,242.14,1322.12,5.46
5.48,5.48,5.4,5.45,303.38,1640.8,5.41
5.47,5.57,5.47,5.52,364.29,2004.57,5.5
5.57,5.59,5.53,5.59,87.91,489.85,5.57
5.58,5.9,5.58,5.71,9242.49,54270.64,5.87
5.77,5.97,5.71,5.89,756.3,4404.42,5.82
5.84,6,5.84,5.86,933.9,5496.45,5.89
5.86,5.89,5.79,5.84,2458.77,14356.09,5.84
5.81,5.91,5.81,5.9,777.74,4547.81,5.85
5.88,5.93,5.56,5.8,1249.63,7215.71,5.77
5.87,6.42,5.87,6.42,791.82,4747.6,6
6.41,6.49,6.12,6.49,830.32,5270.7,6.35
6.5,6.52,6.34,6.41,179.82,1157.12,6.43
6.41,6.47,6.4,6.4,48.95,314.45,6.42
6.4,6.4,6.13,6.19,375.24,2365.54,6.3
6.13,6.34,5.98,6.23,1448.84,8905.97,6.15
6.2,6.25,6.06,6.06,1034.25,6351.84,6.14
6.13,6.47,6.13,6.47,938.21,6004.93,6.4
6.42,6.49,6.26,6.46,450.83,2902.22,6.44
6.4,6.5,6.26,6.29,637.66,4075.44,6.39
6.5,6.65,6.48,6.64,1438.33,9491.82,6.6
6.66,6.67,6.64,6.67,243.27,1619.66,6.66
6.65,6.69,6.64,6.64,237.57,1581.82,6.66
6.64,6.67,6.59,6.67,514.38,3408.14,6.63
6.64,6.67,6.48,6.59,448.78,2959.01,6.59
6.6,6.61,6.5,6.55,192.88,1259.63,6.53
6.54,6.54,6.33,6.45,944.27,6069.64,6.43
6.35,6.39,6.35,6.39,294.1,1867.56,6.35
6.39,6.45,6.35,6.4,305.08,1963.84,6.44
6.35,6.35,6.11,6.2,1331.27,8339.17,6.26
6.2,6.26,6.17,6.26,625.46,3882.91,6.21
6.26,6.45,6.17,6.3,1178.99,7454.71,6.32
6.3,6.46,6.3,6.41,1094.11,6940.59,6.34
6.41,6.68,6.34,6.57,7893.12,51729.42,6.55
6.52,6.56,6.46,6.49,3338.66,21715.73,6.5
6.49,6.54,6.39,6.53,1429.74,9221.46,6.45
6.53,6.53,5.99,6.5,2836.41,17551.32,6.19
6.5,6.62,6.49,6.5,7362.65,47899.35,6.51
6.55,6.63,6.5,6.52,764.9,5011.08,6.55
6.58,6.6,6.5,6.6,710.14,4631.41,6.52
6.6,6.61,6.53,6.61,117.91,772,6.55
6.6,6.61,6.55,6.57,82,538.86,6.57
6.55,6.62,6.52,6.52,250.44,1639.24,6.55
6.55,6.62,6.52,6.62,622.31,4106.38,6.6
6.6,6.64,6.55,6.61,1169.93,7703.06,6.58
6.61,6.66,6.56,6.63,804.12,5327.93,6.63
6.63,6.64,6.4,6.44,1132.27,7394.36,6.53
6.44,6.55,6.36,6.51,1505.48,9738.46,6.47
6.52,6.55,6.44,6.44,509.21,3306.6,6.49
6.52,6.65,6.52,6.65,988.48,6516.27,6.59
6.64,6.66,6.6,6.6,418.49,2775.62,6.63
6.59,6.6,6.39,6.6,1062.46,6905.38,6.5
6.6,6.6,6.54,6.59,600.16,3937.99,6.56
6.6,6.64,6.56,6.58,284.23,1878.28,6.61
6.64,6.79,6.57,6.79,1124.25,7509.88,6.68
6.8,6.8,6.45,6.54,702.07,4628.41,6.59
6.53,6.77,6.53,6.73,128.3,855.15,6.66
6.77,6.8,6.69,6.8,632.78,4253.85,6.72
6.8,6.99,6.55,6.94,1118.97,7648.16,6.83
6.95,7.1,6.95,7,629.95,4412.95,7.01
7,7.13,7,7.08,865.19,6091.45,7.04
7.08,7.13,7.04,7.11,376.72,2674.01,7.1
7.08,7.15,7.08,7.14,374.94,2671.81,7.13
7.15,7.19,7.12,7.19,889.58,6357.55,7.15
7.18,7.59,7.1,7.59,1436.26,10349.11,7.21
7.6,7.64,7.46,7.56,472.93,3582.4,7.57
7.57,7.69,7.51,7.59,731.61,5561.68,7.6
7.58,7.58,7.53,7.53,248.68,1879.36,7.56
7.53,7.58,7.44,7.55,468.63,3528.71,7.53
7.55,7.55,7.49,7.5,73.53,553.4,7.53
7.5,7.57,7.4,7.57,248.86,1865.16,7.49
7.57,7.58,7.14,7.5,1326.71,9823.22,7.4
7.5,8.3,7.5,8.3,2353.38,18289.7,7.77
