,Open,High,Low,Close,VolumeBTC,VolumeCurrency,WeightedPrice,candlecolor,engulfing,stochRSI,SMA10Close,SMA20Close,SMA50Close,SMA100Close,SMA200Close,IchimokuconversionLine,IchimokuBaseline,IchimokuLeadingSpanA,IchimokuLeadingSpanB,IchimokuLaggingSpan,IchimokuCloudSpan,DistanceLeadingSpanA,DistanceLeadingSpanB,ConversionLineBaseLine,AverageTrueRange,SupportLine1,SupportLine2,SupportLine3,SupportSlope1,SupportSlope2,SupportSlope3,ResistantLine1,ResistantLine2,ResistantLine3,ResistanceSlope1,ResistanceSlope2,ResistanceSlope3,CategoricalIncrease
201,6.61,6.66,6.56,6.63,0.013706863,5327.93,6.63,1.0,0.0,0.71699494,0.010859833,0.02262452,0.06165924,0.14413275,0.19715683,0.9524886,0.9562594,0.954374,0.9117647,0.94871795,0.04260932,5.6756263,5.7182355,-0.0037708252,0.16928567,0.7711019,0.7711019,0.7711019,3.109779e-05,3.109779e-05,3.109779e-05,1.0060353,1.0060353,1.0060353,8.908133e-06,8.908133e-06,8.908133e-06,0
202,6.63,6.64,6.4,6.44,0.01930035,7394.36,6.53,1.0,0.0,1.0,0.019875772,0.006832351,0.03083859,0.11621113,0.17190221,1.0209627,0.98447204,1.0027174,0.9386646,1.0310559,0.06405278,5.4372826,5.5013356,0.03649063,0.15642855,0.7942288,0.7942288,0.7942288,3.201527e-05,3.201527e-05,3.201527e-05,1.0355757,1.0355757,1.0355757,9.170951e-06,9.170951e-06,9.170951e-06,1
203,6.44,6.55,6.36,6.51,0.025661811,9738.46,6.47,-1.0,0.0,0.94426066,0.007987718,0.0040707095,0.038709637,0.12339483,0.17934719,1.0030721,0.9738863,0.9884792,0.9285714,1.0245775,0.059907813,5.521521,5.581429,0.029185802,0.16214283,0.7799144,0.7799144,0.7799144,2.4188575e-05,2.4188575e-05,2.4188575e-05,1.0243012,1.0243012,1.0243012,9.072338e-06,9.072338e-06,9.072338e-06,0
204,6.52,6.55,6.44,6.44,0.008679715,3306.6,6.49,1.0,0.0,0.8305495,0.019099327,0.007686274,0.025465885,0.11145958,0.16899063,1.0108696,0.98447204,0.9976708,0.9386646,1.0310559,0.05900623,5.4423294,5.5013356,0.026397526,0.15142857,0.78867763,0.78867763,0.78867763,2.4451496e-05,2.4451496e-05,2.4451496e-05,1.035294,1.035294,1.035294,9.170951e-06,9.170951e-06,9.170951e-06,1
205,6.52,6.65,6.52,6.65,0.01684904,6516.27,6.59,-1.0,0.0,0.0,0.014285683,0.023834586,0.05335337,0.13727817,0.19394735,0.9789474,0.9526316,0.9657895,0.90902257,1.0030075,0.056766924,5.684211,5.740978,0.026315818,0.15142857,0.93310624,0.93310624,0.93310624,0.00020498653,0.00020498653,0.00020498653,1.0024642,1.0024642,1.0024642,8.881342e-06,8.881342e-06,8.881342e-06,0
206,6.64,6.66,6.6,6.6,0.0071332892,2775.62,6.63,1.0,0.0,0.0,0.0060606147,0.013030183,0.042787943,0.12828775,0.1864167,0.9863637,0.9598485,0.9731061,0.9159091,0.9984849,0.05719698,5.626894,5.6840906,0.02651518,0.15571427,0.9431309,0.9431309,0.9431309,0.00020653947,0.00020653947,0.00020653947,1.0099213,1.0099213,1.0099213,8.948625e-06,8.948625e-06,8.948625e-06,0
207,6.59,6.6,6.39,6.6,0.018109908,6905.38,6.5,-1.0,0.0,0.0,0.006212047,0.010454453,0.039212115,0.12592421,0.18508336,0.9863637,0.9598485,0.9731061,0.9159091,0.9924243,0.05719698,5.626894,5.6840906,0.02651518,0.12142853,0.9460958,0.9460958,0.9460958,0.00020653947,0.00020653947,0.00020653947,1.009784,1.009784,1.009784,8.948625e-06,8.948625e-06,8.948625e-06,0
208,6.6,6.6,6.54,6.59,0.010229821,3937.99,6.56,1.0,0.0,0.1839089,0.004248959,0.006676704,0.03426399,0.122215465,0.18259488,0.9878604,0.96130496,0.9745827,0.9172989,0.97875565,0.05728377,5.6154175,5.6727014,0.026555415,0.1271428,0.9505102,0.9505102,0.9505102,0.00020685287,0.00020685287,0.00020685287,1.0111787,1.0111787,1.0111787,8.9622035e-06,8.9622035e-06,8.9622035e-06,0
209,6.6,6.64,6.56,6.58,0.0048447284,1878.28,6.61,-1.0,0.0,0.17014685,0.0016716839,0.0037993342,0.029543974,0.11849548,0.18009117,0.98936176,0.962766,0.97606385,0.918693,0.9711246,0.05737083,5.603936,5.661307,0.026595773,0.12214279,0.9549475,0.9549475,0.9549475,0.00020716725,0.00020716725,0.00020716725,1.0125778,1.0125778,1.0125778,8.975824e-06,8.975824e-06,8.975824e-06,1
210,6.64,6.79,6.57,6.79,0.01916292,7509.88,6.68,-1.0,0.0,0.19033395,0.033136938,0.03453607,0.056642238,0.14347567,0.20413841,0.95876294,0.9329897,0.9458763,0.89543444,0.94256264,0.050441857,5.844124,5.8945656,0.025773223,0.120714225,0.92832226,0.92832226,0.92832226,0.00020076001,0.00020076001,0.00020076001,0.9811275,0.9811275,0.9811275,8.698222e-06,8.698222e-06,8.698222e-06,0
