,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price,index,candle color,engulfing,stochRSI,SMA10-Close,SMA20-Close,SMA50-Close,SMA100-Close,SMA200-Close,Ichimoku conversion Line,Ichimoku Baseline,Ichimoku Leading Span A,Ichimoku Leading Span B,Ichimoku Lagging Span,Ichimoku Cloud Span,Distance-Leading Span A,Distance-Leading Span B,ConversionLine - BaseLine,Average True Range,Support Line 1,Support Line 2,Support Line 3,Support Slope 1,Support Slope 2,Support Slope 3,Resistant Line 1,Resistant Line 2,Resistant Line 3,Resistance Slope 1,Resistance Slope 2,Resistance Slope 3,IncreaseTomorrow
201,6.8,6.8,6.45,6.73,830.37,5483.56,6.6,201.0,1.0,0.0,0.16149256,-0.024962854,-0.034026746,-0.13280833,-0.19548291,-0.19901931,0.9769688,0.9153046,0.9461367,0.87221396,0.8484398,0.07392273,5.783863,5.857786,0.06166419,0.225,0.7664944,0.7664944,0.7664944,6.827013e-05,6.827013e-05,6.827013e-05,16.753778,16.753778,16.753778,-0.0018314768,-0.0018314768,-0.0018314768,1
202,6.77,6.99,6.55,6.94,1751.76,11902.01,6.79,202.0,-1.0,0.0,0.27155748,-0.051152736,-0.058429394,-0.15426514,-0.21716139,-0.2215634,0.9481268,0.89048994,0.91930836,0.84654176,0.8443804,0.07276657,6.020692,6.093458,0.057636887,0.24285714,0.7440876,0.7440876,0.7440876,6.620432e-05,6.620432e-05,6.620432e-05,1.1335069,1.1335069,1.1335069,-9.209487e-05,-9.209487e-05,-9.209487e-05,1
203,6.95,7.13,6.95,7.08,1495.14,10504.4,7.03,203.0,1.0,0.0,0.74679464,-0.06398305,-0.07365819,-0.16559322,-0.22975989,-0.235,0.9427966,0.88629943,0.91454804,0.84322035,0.8333333,0.07132769,6.165452,6.2367797,0.056497175,0.25357142,0.730146,0.730146,0.730146,6.489519e-05,6.489519e-05,6.489519e-05,15.111304,15.111304,15.111304,-0.0016904327,-0.0016904327,-0.0016904327,0
204,7.08,7.15,7.04,7.14,751.66,5345.83,7.11,204.0,1.0,0.0,0.6651874,-0.06526611,-0.07836135,-0.1670028,-0.23316526,-0.23942576,0.9446779,0.8886555,0.9166667,0.8459384,0.89915967,0.070728295,6.2233334,6.2940617,0.05602241,0.24642856,0.7247767,0.7247767,0.7247767,6.434986e-05,6.434986e-05,6.434986e-05,7.1123705,7.1123705,7.1123705,-0.0012062121,-0.0012062121,-0.0012062121,1
205,7.15,7.59,7.1,7.59,2325.84,16706.66,7.18,205.0,1.0,0.0,1.0,-0.11251647,-0.12971014,-0.21083003,-0.275863,-0.282668,0.8899868,0.8649539,0.8774704,0.79710144,0.84453225,0.080368906,6.7125297,6.7928987,0.025032938,0.23,0.6825274,0.6825274,0.6825274,6.0534647e-05,6.0534647e-05,6.0534647e-05,1.2430797,1.2430797,1.2430797,-0.00016027826,-0.00016027826,-0.00016027826,0
206,7.6,7.69,7.46,7.59,1204.55,9144.08,7.59,206.0,1.0,0.0,0.98174995,-0.09960474,-0.12312253,-0.20426877,-0.27243742,-0.2804809,0.9189723,0.8939394,0.9064559,0.82608694,0.81554675,0.080368906,6.683544,6.763913,0.025032938,0.22571428,0.6832499,0.6832499,0.6832499,6.0534647e-05,6.0534647e-05,6.0534647e-05,369.51978,369.51978,369.51978,-0.0034170928,-0.0034170928,-0.0034170928,0
207,7.58,7.58,7.44,7.55,717.31,5408.07,7.54,207.0,-1.0,0.0,0.99290943,-0.07960265,-0.11092715,-0.19350994,-0.26516557,-0.27450994,0.93245035,0.905298,0.91887414,0.8370861,0.802649,0.08178808,6.631126,6.712914,0.027152319,0.23214285,0.6875968,0.6875968,0.6875968,6.085536e-05,6.085536e-05,6.085536e-05,3.7217844,3.7217844,3.7217844,-0.0007529224,-0.0007529224,-0.0007529224,0
208,7.55,7.57,7.4,7.57,322.39,2418.56,7.5,208.0,-1.0,0.0,1.0,-0.067371204,-0.10568032,-0.18911493,-0.26373845,-0.27427346,0.9299868,0.9035667,0.9167768,0.8348745,0.8533686,0.08190224,6.653223,6.7351255,0.02642008,0.235,0.6865061,0.6865061,0.6865061,6.069458e-05,6.069458e-05,6.069458e-05,3.6636815,0.9418758,0.8859597,-0.00075093313,-0.0017934112,-0.00087779644,1
209,7.57,8.3,7.14,8.3,3680.08,28112.92,7.64,209.0,1.0,0.0,0.97535694,-0.13771084,-0.17644578,-0.25440964,-0.32538554,-0.33613253,0.85180724,0.8240964,0.8379518,0.76144576,0.8,0.076506026,7.462048,7.538554,0.027710844,0.24,0.6267894,0.6267894,0.6267894,5.535638e-05,5.535638e-05,5.535638e-05,3.2980022,0.8325979,0.8091054,-0.0006848872,-0.0016356775,-0.000626659,1
210,8.3,8.8,7.7,8.55,3658.9,30014.69,8.2,210.0,1.0,0.0,0.93280333,-0.14292398,-0.18947369,-0.26865497,-0.34090057,-0.35332164,0.8625731,0.8356725,0.8491228,0.7748538,0.77660817,0.074269004,7.700877,7.775146,0.026900584,0.31428573,0.60910624,0.60910624,0.60910624,5.3737775e-05,5.3737775e-05,5.3737775e-05,8817.613,8817.613,8817.613,-0.0046762824,-0.0046762824,-0.0046762824,1
