Open,High,Low,Close,VolumeBTC,VolumeCurrency,WeightedPrice
5.8,6,4.8,4.87,239.87,1291.44,5.38
4.87,5.79,4.81,5.68,401.77,2145.3,5.34
6.05,6.06,4.8,4.82,206.17,1060,5.14
4.85,6.25,3.99,3.99,608.3,2953.84,4.86
3.89,4.51,3.89,4.05,507.7,2090.78,4.12
3.92,3.92,2.22,2.27,113.68,272.32,2.4
2.99,4.4,2.66,3.95,669.92,2047.39,3.06
3.85,3.85,3,3,444.75,1496.63,3.37
2.95,3.35,2.95,3.35,499.61,1547.85,3.1
3.35,3.35,2.43,2.43,470.18,1269.06,2.7
2.37,15,2.25,2.77,829.04,2165.81,2.61
2.67,3.48,2.66,2.93,623.41,1928.4,3.09
2.82,3.5,2.82,3.2,784.68,2422.8,3.09
3.17,3.6,3.17,3.44,577.67,1967.17,3.41
3.25,4.75,3.25,4.33,452.87,1875.81,4.14
4.32,4.58,4.21,4.58,363.16,1574.32,4.34
4.58,6.9,4.58,6.8,364.9,2046.45,5.61
6.9,7.38,6.23,6.3,387.63,2685.35,6.93
7.15,7.15,5.52,6.77,667.27,4222.17,6.33
6.79,6.86,3.8,4.91,465.01,2880.1,6.19
5.89,6.5,3.8,5.94,621.37,3746.88,6.03
5.93,6.15,5.2,5.5,588.42,3390.2,5.76
5.78,5.8,4.14,4.23,975.45,4748.51,4.87
4.38,5.22,4.3,5,1714.63,8087.86,4.72
4.79,5.1,4.6,4.65,1695.49,8385.38,4.95
4.78,5.09,4.77,4.94,2019.99,10061.03,4.98
4.94,5.44,4.84,5.42,2932.58,15437.79,5.26
5.41,5.42,4.6,4.83,2098.02,10394.89,4.95
4.61,4.97,4.54,4.9,1298.64,6265.09,4.82
4.89,5.04,4.7,4.7,3102.3,15201.31,4.9
4.8,5.01,4.69,4.96,3479.91,16958.7,4.87
4.96,5.43,4.92,5.24,2961.86,15068.29,5.09
5.24,5.25,4.85,4.91,6382.24,32284.06,5.06
4.92,5.15,4.81,5.04,3717.22,18752.68,5.04
5.06,5.1,4.87,4.91,4639.64,23281.59,5.02
4.95,5.08,4.88,5.07,3584.96,17901.4,4.99
5.03,5.12,5,5.07,3185.03,16160.54,5.07
5.08,5.24,4.95,5.19,4952.87,25290.63,5.11
5.19,5.63,5.14,5.48,6237.47,33774.83,5.41
5.54,6.52,5.4,6.41,18247.32,107082.33,5.87
6.41,6.69,5.98,6.45,8953.47,57310.11,6.4
6.35,6.68,5.99,6.61,29282.54,188980.54,6.45
6.6,6.79,6.36,6.79,10553.83,69278.3,6.56
6.8,7.69,6.45,7.55,9076.63,64494.6,7.11
7.55,9.2,7.14,8.74,16547.37,137967.35,8.34
8.74,9,8.1,8.88,10187.87,88039.65,8.64
8.79,12,8.54,10.51,12022.51,115017.37,9.57
10.93,12.49,10.29,11.38,13108.22,142946.13,10.91
11.4,16.41,11.11,11.54,16765.23,212338.01,12.67
