,Open,High,Low,Close,VolumeBTC,VolumeCurrency,WeightedPrice,candlecolor,engulfing,stochRSI,SMA10Close,SMA20Close,SMA50Close,SMA100Close,SMA200Close,IchimokuconversionLine,IchimokuBaseline,IchimokuLeadingSpanA,IchimokuLeadingSpanB,IchimokuLaggingSpan,IchimokuCloudSpan,DistanceLeadingSpanA,DistanceLeadingSpanB,ConversionLineBaseLine,AverageTrueRange,SupportLine1,SupportLine2,SupportLine3,SupportSlope1,SupportSlope2,SupportSlope3,ResistantLine1,ResistantLine2,ResistantLine3,ResistanceSlope1,ResistanceSlope2,ResistanceSlope3,CategoricalIncrease
201,276.74,292.0,274.62,288.78,0.29562992,17197486.0,280.7,-1.0,0.0,0.92358357,0.13887389,0.13887562,0.08280421,0.43939018,0.2277218,0.92980814,0.8882367,0.90902245,1.3546644,0.86290604,-0.44564202,287.87097,287.42532,0.04157144,20.930714,0.66193694,0.66193694,0.66193694,1.3105367e-05,1.3105367e-05,1.3105367e-05,1.9718388,1.1011497,1.1011497,1.2634947e-05,2.3065735e-05,2.3065735e-05,0
202,288.97,297.44,276.66,280.19,0.29964414,17961048.0,289.23,1.0,0.0,1.0,0.09351511,0.11032157,0.094644345,0.48992968,0.19899353,0.958314,0.9394875,0.94890076,1.3555088,0.7741176,-0.40660802,279.2411,278.8345,0.01882651,20.207857,0.6882016,0.6882016,0.6882016,1.3507148e-05,1.3507148e-05,1.3507148e-05,2.0152884,1.1176348,1.1176348,1.3022306e-05,2.377288e-05,2.377288e-05,0
203,280.19,285.88,260.41,262.19,0.239588,13830899.0,278.54,-1.0,0.0,1.0,0.015099737,0.04958999,0.1513513,0.5980217,0.13875109,1.0241047,1.0039856,1.0140451,1.4291162,0.8707426,-0.41507113,261.17596,260.7609,0.020118998,20.462856,0.74188524,0.74188524,0.74188524,1.4434448e-05,1.4434448e-05,1.4434448e-05,2.135625,1.1761847,1.1344445,1.3916319e-05,2.5404946e-05,5.5330278e-05,0
204,262.19,271.5,260.45,261.46,0.29283395,16105504.0,265.37,-1.0,0.0,1.0,0.0008452536,0.046517633,0.13660446,0.60792434,0.13140883,1.0323759,1.0096955,1.0210357,1.4331064,0.9829037,-0.4120707,260.43896,260.0269,0.022680333,20.495,0.750468,0.750468,0.750468,1.4474748e-05,1.4474748e-05,1.4474748e-05,2.1236703,1.1615167,1.100239,1.3955174e-05,2.5475878e-05,5.5484757e-05,0
205,261.46,262.2,221.11,231.0,0.48581147,24045786.0,238.81,-1.0,0.0,0.8732535,0.14669263,0.08106926,0.26575238,0.8258771,0.011303463,1.1881602,1.1428355,1.1654978,1.4860173,1.0623809,-0.32051948,229.8345,229.51398,0.045324676,19.855715,0.8568603,0.8568603,0.8568603,1.638341e-05,1.638341e-05,1.638341e-05,2.3835907,1.2946662,1.2044071,1.5795324e-05,2.8835164e-05,6.280106e-05,0
206,231.0,235.93,198.12,230.54,0.81746876,37686964.0,222.42,-1.0,0.0,0.66075116,0.14870304,0.07830311,0.24669558,0.834188,0.0043699574,1.1692114,1.1451159,1.1571636,1.465017,1.0994622,-0.3078533,229.38284,229.07498,0.024095602,21.87857,0.8660845,0.8660845,0.8660845,1.6416101e-05,1.6416101e-05,1.6416101e-05,2.368365,1.2775048,1.1671642,1.5826841e-05,2.88927e-05,6.292637e-05,1
207,230.41,237.22,224.39,235.6,0.6628385,31492974.0,229.21,-1.0,1.0,0.58969545,0.1179966,0.053953733,0.19891511,0.79920924,0.020944398,1.0953099,1.0953099,1.0953099,1.3946307,1.1744907,-0.29932088,234.50468,234.20537,0.0,23.862143,0.8409168,0.8409168,0.8409168,1.5756435e-05,1.5756435e-05,1.5756435e-05,2.2981105,1.2310413,1.1045768,1.5486927e-05,2.8272168e-05,6.1574894e-05,0
208,235.39,246.24,233.02,234.79,0.71459204,35595730.0,240.29,1.0,0.0,0.4151419,0.11520508,0.060187828,0.18830104,0.8102888,0.012613399,1.0990885,1.0990885,1.0990885,1.3722901,1.2011158,-0.27320158,233.69092,233.41771,0.0,24.018572,0.731153,0.731153,0.731153,6.6730036e-06,6.6730036e-06,6.6730036e-06,2.2867458,1.2164868,1.0719748,1.5540354e-05,2.8369705e-05,6.178732e-05,0
209,234.79,236.09,223.0,230.0,0.5650006,27003168.0,230.53,-1.0,0.0,0.40230128,0.1273826,0.08415218,0.19852869,0.8526339,0.012981304,1.1219783,1.1219783,1.1219783,1.3782173,1.1304348,-0.25623912,228.87802,228.62178,0.0,24.0,0.7272064,0.7272064,0.7272064,5.166315e-06,5.166315e-06,5.166315e-06,2.3148398,1.2229205,1.0706087,1.5864e-05,2.8960534e-05,6.0355902e-05,1
210,230.0,237.25,223.12,233.81,0.5897402,28277288.0,231.27,-1.0,0.0,0.47590405,0.08264831,0.065666564,0.17076857,0.82518196,0.0013410462,1.0597494,1.1036953,1.0817224,1.2966083,1.0815191,-0.21488602,232.72827,232.5134,-0.04394594,24.207857,0.86845523,0.86845523,0.86845523,1.52291595e-05,1.52291595e-05,1.52291595e-05,2.2580678,1.1846827,1.0200317,1.560549e-05,2.8488615e-05,5.9372385e-05,1
211,233.81,240.56,231.16,238.95,0.63162464,30998840.0,236.7,1.0,0.0,0.51480263,0.04137267,0.041037872,0.13485499,0.78819126,0.015364093,1.0369533,1.0799539,1.0584537,1.2687173,1.0617284,-0.21026365,237.89154,237.68129,-0.043000627,23.327858,0.8567699,0.8567699,0.8567699,1.4901569e-05,1.4901569e-05,1.4901569e-05,2.1910098,1.1415559,0.99288553,1.5269805e-05,2.7875802e-05,5.3235926e-05,1
212,239.06,248.19,236.1,245.71,0.63264996,31816894.0,242.54,1.0,0.0,0.36107466,0.00755769,0.013066216,0.09129055,0.7403818,0.037650686,0.9849009,1.0502422,1.0175716,1.2338122,0.96109235,-0.21624069,244.69243,244.47618,-0.06534126,23.01357,0.84005773,0.84005773,0.84005773,1.4491595e-05,1.4491595e-05,1.4491595e-05,2.112904,1.0932525,0.9790403,1.48497e-05,2.7108881e-05,4.4838536e-05,1
213,245.71,273.0,242.82,270.07,0.7949261,42003156.0,254.81,1.0,0.0,0.0,0.10984189,0.076839335,0.014768763,0.5798641,0.11996371,0.8694413,0.9555115,0.9124764,1.1225238,0.82719296,-0.2100474,269.15753,268.94748,-0.08607028,22.38,0.77057755,0.77057755,0.77057755,1.318447e-05,1.318447e-05,1.318447e-05,1.9062399,0.97950363,0.918984,1.3510275e-05,2.466369e-05,3.3210275e-05,1
214,270.04,284.0,259.82,282.84,0.71558076,40239640.0,271.16,1.0,0.0,0.0,0.1472458,0.1118088,0.06311413,0.50271994,0.15498321,0.83283836,0.912371,0.87260467,1.0718428,0.7994626,-0.19923809,281.9674,281.76816,-0.0795326,21.72857,0.741844,0.741844,0.741844,1.2589201e-05,1.2589201e-05,1.2589201e-05,1.8049465,0.96521,0.96521,1.29002965e-05,2.2808726e-05,2.2808726e-05,1
215,283.03,334.67,279.25,310.18,1.0459448,66057548.0,304.52,1.0,0.0,0.0,0.21551679,0.18077084,0.14972661,0.35265395,0.2249755,0.77716166,0.8319524,0.804557,0.977368,0.7538526,-0.17281094,309.37546,309.20264,-0.054790765,20.192858,0.68202513,0.68202513,0.68202513,1.1479559e-05,1.1479559e-05,1.1479559e-05,1.6320846,0.9155974,0.9155974,1.17632335e-05,2.0021707e-05,2.0021707e-05,1
