__,hs300,zz500,sz50
2015/01/05 09:15,3620,5384.4,2604
2015/01/05 09:20,3618.2,5383.6,2604
2015/01/05 09:25,3609,5386.8,2606.2
2015/01/05 09:30,3607,5389.8,2606.4
2015/01/05 09:35,3610.4,5393,2607.8
2015/01/05 09:40,3606.8,5395,2608.2
2015/01/05 09:45,3611,5392.6,2607.2
2015/01/05 09:50,3613.8,5392.8,2607.2
2015/01/05 09:55,3603.2,5392,2606.4
2015/01/05 10:00,3608.2,5392.6,2606.6
2015/01/05 10:05,3612.6,5389.4,2605
2015/01/05 10:10,3609.2,5390.4,2605.6
2015/01/05 10:15,3592.8,5393,2607.2
2015/01/05 10:20,3601.8,5393,2607
2015/01/05 10:25,3596.4,5390.4,2605.6
2015/01/05 10:30,3602.2,5391,2606.4
2015/01/05 10:35,3602.6,5387.8,2604.8
2015/01/05 10:40,3606.6,5391.2,2606
2015/01/05 10:45,3599.6,5394.2,2607
2015/01/05 10:50,3597.4,5392.8,2606.6
2015/01/05 10:55,3596.2,5392,2606.6
2015/01/05 11:00,3601.4,5393.6,2607.2
2015/01/05 11:05,3607.6,5390.8,2606
2015/01/05 11:10,3604.4,5391.2,2606.4
2015/01/05 11:15,3601.8,5392.2,2606.4
2015/01/05 11:20,3608.6,5393,2607
2015/01/05 11:25,3607.6,5391,2605.8
2015/01/05 11:30,3637.8,5388.6,2604.4
2015/01/05 13:00,3650.2,5404.6,2614.4
2015/01/05 13:05,3654,5405.8,2616
2015/01/05 13:10,3663.6,5405.8,2615.4
2015/01/05 13:15,3672.8,5402.4,2613.8
2015/01/05 13:20,3672.8,5401,2613
2015/01/05 13:25,3676,5400.8,2613.2
2015/01/05 13:30,3672.8,5400,2613
2015/01/05 13:35,3683.6,5403.8,2614.4
2015/01/05 13:40,3680.8,5403.6,2614.4
2015/01/05 13:45,3681.8,5481,2676
2015/01/05 13:50,3676.2,5476,2674.2
2015/01/05 13:55,3678.2,5476.6,2674.8
2015/01/05 14:00,3692.6,5481.8,2676.6
2015/01/05 14:05,3699.4,5485.4,2678.2
2015/01/05 14:10,3723.4,5486.6,2678.6
2015/01/05 14:15,3725,5538.4,2712.2
2015/01/05 14:20,3729.6,5534.2,2711.6
2015/01/05 14:25,3727.4,5534.2,2711
2015/01/05 14:30,3727.8,5538,2712.2
2015/01/05 14:35,3750.8,5541.6,2713.8
2015/01/05 14:40,3762.6,5546.6,2737.4
2015/01/05 14:45,3762.4,5543.4,2736.2
2015/01/05 14:50,3754,5543,2736.2
2015/01/05 14:55,3693,5549.6,2738.8
2015/01/05 15:00,3683.8,5501,2685.2
2015/01/05 15:05,3690.6,5477,2679.6
2015/01/05 15:10,3683.6,5476,2679.4
2015/01/05 15:15,3671.4,5474.8,2679.2
2015/01/06 09:15,3673,5460.6,2670.4
2015/01/06 09:20,3678.6,5457.4,2669.4
2015/01/06 09:25,3668.4,5460.4,2670.6
2015/01/06 09:30,3658.4,5464.6,2672.4
2015/01/06 09:35,3658.4,5469.2,2674.2
2015/01/06 09:40,3664.8,5470,2674.2
2015/01/06 09:45,3673.2,5464.8,2655.4
2015/01/06 09:50,3678.2,5459,2653.2
2015/01/06 09:55,3684,5460.8,2654.2
2015/01/06 10:00,3682.2,5472,2678.6
2015/01/06 10:05,3682.2,5470,2678
2015/01/06 10:10,3694.6,5470.6,2678.4
2015/01/06 10:15,3696.4,5476.8,2681
2015/01/06 10:20,3696.6,5478,2681.2
2015/01/06 10:25,3697.2,5480.8,2682.2
2015/01/06 10:30,3700.6,5482.2,2682.6
2015/01/06 10:35,3682.6,5481,2682.4
2015/01/06 10:40,3681.2,5478.8,2681
2015/01/06 10:45,3643.8,5477.6,2680.2
2015/01/06 10:50,3653.8,5476.8,2679.6
2015/01/06 10:55,3664.8,5476.8,2679.6
2015/01/06 11:00,3657.2,5472,2678.6
2015/01/06 11:05,3650.2,5471,2678.4
2015/01/06 11:10,3667.4,5444,2654.6
2015/01/06 11:15,3646.8,5442,2654
2015/01/06 11:20,3636.4,5442.6,2654.4
2015/01/06 11:25,3628.6,5448.8,2657
2015/01/06 11:30,3619.2,5451,2657.8
2015/01/06 13:00,3614.8,5451,2657.8
2015/01/06 13:05,3640.2,5451,2658.8
2015/01/06 13:10,3644.4,5451,2658.8
2015/01/06 13:15,3647.4,5474,2651.2
2015/01/06 13:20,3655.6,5485.8,2636.6
2015/01/06 13:25,3653.6,5483.2,2635.8
2015/01/06 13:30,3647.2,5485,2637.4
2015/01/06 13:35,3659,5490.2,2639
2015/01/06 13:40,3668.2,5493.2,2639.8
2015/01/06 13:45,3670,5495.4,2640.4
2015/01/06 13:50,3663.6,5495.2,2640.2
2015/01/06 13:55,3646.8,5494.6,2640
2015/01/06 14:00,3646,5492.2,2638.6
2015/01/06 14:05,3670.6,5493,2638.8
2015/01/06 14:10,3645.8,5490.6,2637.4
2015/01/06 14:15,3640.2,5488.4,2636.6
2015/01/06 14:20,3643,5492.8,2638.8
2015/01/06 14:25,3643.6,5492.4,2639
2015/01/06 14:30,3658.6,5491.4,2638
2015/01/06 14:35,3668.2,5490.2,2637.8
2015/01/06 14:40,3684.8,5487.6,2637
2015/01/06 14:45,3670.2,5489.8,2637.6
2015/01/06 14:50,3669.6,5494.8,2638.6
2015/01/06 14:55,3654,5492.8,2638.4
2015/01/06 15:00,3656.4,5492.4,2638.8
2015/01/06 15:05,3654.2,5492.4,2638.8
2015/01/06 15:10,3654.6,5493.2,2639.2
2015/01/06 15:15,3656.8,5492.2,2639
2015/01/07 09:15,3660.8,5499,2635.2
2015/01/07 09:20,3653.2,5500.6,2636.2
2015/01/07 09:25,3645,5505,2637.6
2015/01/07 09:30,3650.2,5509,2639.4
2015/01/07 09:35,3652.6,5509.6,2639.6
2015/01/07 09:40,3653.8,5512,2640.2
2015/01/07 09:45,3661.8,5509.4,2639.2
2015/01/07 09:50,3667,5511,2639.8
2015/01/07 09:55,3667,5509.2,2638.6
2015/01/07 10:00,3664,5509,2638.2
2015/01/07 10:05,3669.4,5508,2637.8
2015/01/07 10:10,3673,5507.6,2637.6
2015/01/07 10:15,3681.2,5509.2,2638.8
2015/01/07 10:20,3677,5510.6,2639.2
2015/01/07 10:25,3672.4,5506,2637
2015/01/07 10:30,3680.6,5506.8,2637.8
2015/01/07 10:35,3669,5505.8,2637.2
2015/01/07 10:40,3661.2,5507.6,2637.8
2015/01/07 10:45,3664.4,5510.4,2638.6
2015/01/07 10:50,3657.8,5509.8,2638.6
2015/01/07 10:55,3662.8,5508.4,2638.4
2015/01/07 11:00,3671,5511,2639.2
2015/01/07 11:05,3670.2,5508.6,2638.4
2015/01/07 11:10,3675,5507.8,2638.2
2015/01/07 11:15,3676.4,5507.8,2637.8
2015/01/07 11:20,3673.4,5510.4,2639.2
2015/01/07 11:25,3664.4,5508,2637.8
2015/01/07 11:30,3658.6,5504.8,2636
2015/01/07 13:00,3662.4,5504.8,2637
2015/01/07 13:05,3650.2,5504.8,2637
2015/01/07 13:10,3647.6,5504.8,2635
2015/01/07 13:15,3643.2,5504.8,2635
2015/01/07 13:20,3646,5503.8,2635
2015/01/07 13:25,3654.6,5503.8,2635
2015/01/07 13:30,3647,5503.8,2635
2015/01/07 13:35,3634.2,5490.8,2640.6
2015/01/07 13:40,3638.4,5489.4,2640
2015/01/07 13:45,3621,5488.6,2640
2015/01/07 13:50,3627.6,5491.8,2641.2
2015/01/07 13:55,3622.2,5494.6,2642.4
