date,zz500,HS300,Hengsheng
2005/01/04,986.93,982.79,14045.9
2005/01/05,1003.63,992.56,13764.36
2005/01/06,994.6,983.17,13712.04
2005/01/07,997.61,983.96,13574.86
2005/01/10,1006.34,993.88,13531.39
2005/01/11,1008.34,997.14,13509.25
2005/01/12,1008.62,996.75,13565.31
2005/01/13,1013.07,996.88,13573.28
2005/01/14,1000.17,988.31,13494.78
2005/01/17,977.52,967.45,13621.65
2005/01/18,991.42,974.69,13604.22
2005/01/19,986.24,967.21,13678.63
2005/01/20,972.46,956.25,13543.59
2005/01/21,988.52,982.6,13481.02
2005/01/24,1008.18,998.13,13386.99
2005/01/25,999.55,997.78,13584.06
2005/01/26,987.96,989.93,13623.68
2005/01/27,971.37,974.63,13628.91
2005/01/28,952.41,969.21,13650.06
2005/01/31,922.65,954.88,13721.69
2005/02/01,913.33,955.95,13578.26
2005/02/02,964.24,1006.91,13555.8
2005/02/03,945.31,993.22,13515.33
2005/02/04,962.03,1016.86,13585.17
2005/02/16,972.34,1023.58,14015.49
2005/02/17,977.27,1020.61,13967.82
2005/02/18,964.77,1006.06,14087.87
2005/02/21,981.82,1025.63,14111.65
2005/02/22,1007.69,1046.74,14090.52
2005/02/23,1019.26,1043.94,13957.94
2005/02/24,1024.45,1045.46,14060.91
2005/02/25,1024.12,1046.76,14157.09
2005/02/28,1020.85,1039.99,14195.35
2005/03/01,1021.16,1035.93,14061.15
2005/03/02,1006.15,1021.32,13850.78
2005/03/03,1011.29,1027.71,13892.37
2005/03/04,1003.21,1023.67,13730.78
2005/03/07,1006.95,1029.87,13771.95
2005/03/08,1029.46,1048.99,13881.71
2005/03/09,1032.55,1046.54,13941.47
2005/03/10,1005.55,1022.41,13856.02
2005/03/11,1009.43,1027.43,13890.93
2005/03/14,1007.77,1031.03,13906.85
2005/03/15,993.83,1013.52,13816.75
2005/03/16,983.92,1003.07,13832.52
2005/03/17,970.97,992.86,13817.99
2005/03/18,949.51,978.67,13828.37
2005/03/21,949.55,981.89,13834.35
2005/03/22,922.56,964.02,13776.47
2005/03/23,923.19,959.01,13603.61
2005/03/24,933.35,964.8,13597.1
2005/03/25,931.42,962.96,13597.1
2005/03/28,922.92,960.7,13597.1
2005/03/29,916.81,955.19,13411.88
2005/03/30,888.95,937.03,13425.75
2005/03/31,896.07,942.2,13516.88
2005/04/01,927.55,978.15,13491.35
2005/04/04,909.87,962.17,13513.41
2005/04/05,901.74,955.6,13513.41
2005/04/06,918.56,973.67,13562.26
2005/04/07,932.33,984.73,13602.35
2005/04/08,949.46,1003.45,13666.72
2005/04/11,948.51,995.42,13659.93
2005/04/12,927.41,978.7,13658.05
2005/04/13,950.23,1000.9,13799.62
2005/04/14,935.43,986.98,13772.4
2005/04/15,913.27,974.08,13638.75
2005/04/18,901.12,963.77,13355.23
2005/04/19,902.79,965.89,13444.09
2005/04/20,884.08,950.87,13501.63
2005/04/21,867.33,943.98,13597.31
2005/04/22,857.4,939.1,13693.55
2005/04/25,841.06,930.07,13750.23
2005/04/26,855.24,937.08,13859.58
2005/04/27,839.95,926.6,13839.64
2005/04/28,860.62,942.07,13909.42
2005/04/29,847.61,932.4,13908.97
2005/05/09,818.4,909.17,14085.09
2005/05/10,818.09,913.08,14018.38
2005/05/11,811.57,901.85,13939.8
2005/05/12,807.51,885.82,13968.28
2005/05/13,814.88,887.54,13866.81
2005/05/16,808.17,875.27,13866.81
2005/05/17,818.46,881.46,13667.03
2005/05/18,824.64,883.2,13627.01
2005/05/19,824.94,884.17,13698.93
2005/05/20,819.13,882.76,13717.42
2005/05/23,793.72,863.34,13699.13
2005/05/24,808.74,868.46,13719.32
2005/05/25,809.7,868.45,13562.06
2005/05/26,799.02,857.33,13569.99
2005/05/27,791,849.51,13714.78
2005/05/30,797.53,855.61,13845.1
2005/05/31,796.87,855.95,13867.07
2005/06/01,778.67,837.53,13873.07
2005/06/02,769.42,818.38,13814.58
2005/06/03,765.97,818.03,13818.45
2005/06/06,778.21,839,13860.55
2005/06/07,779.84,837.28,13837.29
2005/06/08,841.36,905.77,13898.55
2005/06/09,849.73,912.6,13898.31
2005/06/10,831.61,894.56,13934.76
2005/06/13,834.25,892.96,13952.02
2005/06/14,818.19,883.54,13904.81
2005/06/15,796.26,866.83,13914.3
2005/06/16,803.95,879.24,13833.53
2005/06/17,800.14,880.35,13912.03
2005/06/20,823.73,906.26,13945.77
2005/06/21,816.2,896.17,13979.35
2005/06/22,818.65,900.65,14161.02
2005/06/23,809.35,893.57,14190.44
2005/06/24,813.2,898.3,14230.29
2005/06/27,834.35,916.04,14176.04
2005/06/28,819.05,903.72,14287.44
2005/06/29,814.06,898.9,14277.28
2005/06/30,791.5,878.69,14201.06
2005/07/01,760.35,859.49,14201.06
2005/07/04,749.48,855.93,14177.87
2005/07/05,744.6,849.68,14124.8
2005/07/06,743.44,842.56,14149.93
2005/07/07,747.42,844.73,14030.81
2005/07/08,722.85,829.49,13964.47
2005/07/11,714.48,824.1,14157.24
2005/07/12,739.53,851.82,14146.95
2005/07/13,732.44,846.23,14307.3
2005/07/14,732.54,849.59,14491.54
2005/07/15,714.49,841,14504.29
2005/07/18,696.85,833,14567
2005/07/19,703.07,835.61,14567.74
2005/07/20,707.29,842.64,14602.7
2005/07/21,704.79,843.99,14620.14
2005/07/22,721.45,859.69,14786.46
2005/07/25,718.87,856.86,14794.03
2005/07/26,735.86,876.48,14769.93
2005/07/27,750.02,894.01,14801.86
2005/07/28,747.23,890.89,14813.32
2005/07/29,744.83,888.16,14880.98
2005/08/01,750.49,891.61,14978.88
2005/08/02,763.29,903.6,15137.08
2005/08/03,769.75,909.57,15118.5
2005/08/04,765.26,904.15,15111.54
2005/08/05,787.82,923.8,15051.32
2005/08/08,800.12,927.47,15108.94
2005/08/09,814.19,933.09,15047.84
2005/08/10,823.84,940.37,15346.41
2005/08/11,832.84,953.99,15445.2
2005/08/12,816.39,938.32,15450.95
2005/08/15,839.67,954.5,15466.06
2005/08/16,839.26,945.06,15443.62
2005/08/17,854.53,953.01,15449.58
2005/08/18,820.66,920.67,15148.09
2005/08/19,820.87,923.04,15038.61
2005/08/22,831.5,931.67,15218.63
2005/08/23,816.91,923.41,14973.89
2005/08/24,826.72,930.65,14873.85
2005/08/25,836.42,930.12,14889.1
2005/08/26,840.43,928.26,14982.89
2005/08/29,832.25,917.37,14836.97
2005/08/30,827.55,914.88,14922.22
2005/08/31,845.14,927.92,14903.55
2005/09/01,865.41,944.56,15143.75
2005/09/02,872.49,947.87,15221.89
2005/09/05,884.29,952.72,15227.83
2005/09/06,862.49,936.61,15160.78
2005/09/07,888.13,952.76,15224.57
2005/09/08,889.69,955.28,15166.17
2005/09/09,879.5,949.07,15165.77
2005/09/12,883.56,949.51,15199.79
2005/09/13,904.31,963.77,15070.56
2005/09/14,914.98,970.19,15086.62
2005/09/15,918.51,969.6,15041.02
2005/09/16,917.64,967.5,14983.2
2005/09/19,930.49,971.14,14983.2
2005/09/20,924.16,961.92,15241.86
2005/09/21,909.79,944.41,15223.62
2005/09/22,880.01,923.27,15179.95
2005/09/23,868.55,916.15,15143.97
2005/09/26,874.84,918.49,15274.31
2005/09/27,856.96,904.21,15189.88
2005/09/28,852.36,903.72,15221.46
2005/09/29,871.29,915.98,15431.25
2005/09/30,869.51,917.39,15428.52
2005/10/10,858.75,907.32,14898.77
2005/10/11,878.62,919.72,14898.77
2005/10/12,887.71,923.49,14575.02
2005/10/13,883.45,916.5,14621.83
2005/10/14,876.05,904.83,14485.88
2005/10/17,878.76,897.62,14541.35
2005/10/18,893.7,902.37,14597.4
2005/10/19,886.31,898.74,14372.76
2005/10/20,886.55,899.92,14408.94
2005/10/21,895.03,904.41,14487.85
2005/10/24,897.76,906.65,14402.35
2005/10/25,877.58,894.27,14424.88
2005/10/26,854.03,875.82,14458.14
2005/10/27,847.59,875.85,14381.06
2005/10/28,825.06,867.73,14215.83
2005/10/31,828.66,876.28,14386.37
2005/11/01,823.33,872.87,14572.26
2005/11/02,840.32,882.48,14597.48
2005/11/03,828.91,874.58,14601.59
2005/11/04,835.12,878.36,14585.79
2005/11/07,842,877.28,14365.79
2005/11/08,848.97,881.52,14403.2
2005/11/09,845.11,879.25,14597.55
2005/11/10,821.27,862.97,14633.33
2005/11/11,823.96,864.79,14740.6
2005/11/14,827.57,862.15,14629.49
2005/11/15,820.49,856.64,14627.41
2005/11/16,826.69,863.12,14650.54
2005/11/17,825.8,862.66,14787.98
2005/11/18,843.74,882.24,14883.32
2005/11/21,846.96,883.87,14885.57
2005/11/22,831.77,869.62,14885.65
2005/11/23,838.12,876.23,15062.35
2005/11/24,841.7,881.49,15084.39
2005/11/25,841.13,884.11,15081.47
2005/11/28,838.34,880.17,15100
2005/11/29,827.01,871.31,15028.76
2005/11/30,829.5,873.83,14937.14
2005/12/01,828.19,873.07,15068.03
2005/12/02,817.86,869.94,15200.38
2005/12/05,796.93,859.61,15158.82
2005/12/06,798.88,866.08,14990.61
2005/12/07,806.78,873.84,15134.95
2005/12/08,805.56,874.06,14879.16
2005/12/09,819.2,887.36,14910.51
2005/12/12,824.52,888.52,14984.4
2005/12/13,824.86,889.1,14942.62
2005/12/14,832.51,898.15,14976.26
2005/12/15,827.54,896.43,15059.02
2005/12/16,834.54,902.56,15029.81
2005/12/19,834.71,902.91,15182.89
2005/12/20,836.12,907.32,15169.17
2005/12/21,830.77,903.14,15221.42
2005/12/22,835.5,908.75,15182.53
2005/12/23,845.59,915.89,15183.58
2005/12/26,853.17,922.38,15183.58
2005/12/27,854.53,919.36,15183.58
2005/12/28,857.21,920.92,15101.54
2005/12/29,866.75,932.03,15045.59
2005/12/30,860.13,923.45,14876.43
2006/01/04,871.73,941.43,15200.06
2006/01/05,882.73,959.13,15271.13
2006/01/06,891.94,970.03,15344.44
2006/01/09,905.07,975.25,15547.43
2006/01/10,911.19,978.15,15569.91
2006/01/11,906.5,973.48,15650.88
2006/01/12,927.42,983.72,15719.37
2006/01/13,932.5,978.81,15787.97
2006/01/16,920.33,961.44,15777.72
2006/01/17,919.28,964.29,15576.2
2006/01/18,939.14,983.62,15481.21
2006/01/19,949.91,991.22,15670.42
2006/01/20,952.77,993.34,15662.08
2006/01/23,961.07,996.16,15464.77
2006/01/24,960.35,999.09,15530.57
2006/01/25,957.79,1009.6,15520.39
2006/02/06,980.91,1033.23,15548.06
2006/02/07,981.57,1029.94,15517.01
2006/02/08,982.94,1033.07,15373.44
2006/02/09,969.58,1019.6,15413.43
2006/02/10,980.8,1032.34,15425.95
2006/02/13,977.4,1031.61,15312.09
2006/02/14,986.06,1038.53,15420.32
2006/02/15,986.16,1041.66,15423.26
2006/02/16,958.59,1020.12,15450.88
2006/02/17,949.99,1020.37,15475.69
2006/02/20,943.77,1021.64,15598.67
2006/02/21,960.02,1038.82,15627.24
2006/02/22,959.95,1037.89,15635.72
2006/02/23,958.72,1041.37,15812.53
2006/02/24,967.16,1049.44,15856.05
2006/02/27,963.38,1047.85,15949.89
2006/02/28,964.73,1053.01,15918.48
2006/03/01,972.07,1056.62,15818.09
2006/03/02,953.37,1038.67,15882.45
2006/03/03,954.46,1041.68,15802
2006/03/06,952.35,1038.87,15811.83
2006/03/07,928.58,1014.97,15602.36
2006/03/08,924.83,1009.27,15493.09
2006/03/09,920.13,1004.34,15510.13
2006/03/10,921.68,1008.9,15445.05
2006/03/13,928.52,1019.86,15542.07
2006/03/14,931.72,1018.27,15519.76
2006/03/15,942.69,1028.96,15720.36
2006/03/16,945.52,1027.62,15729.04
2006/03/17,943.73,1024.02,15801.66
2006/03/20,956.14,1037.66,15929.95
2006/03/21,959.93,1040.76,15922.75
2006/03/22,972.14,1047.67,15642.81
2006/03/23,980.84,1048.54,15771.17
2006/03/24,974.27,1042.6,15716.46
2006/03/27,984.15,1050.71,15815.87
2006/03/28,994.52,1055.98,15856.58
2006/03/29,997.7,1065.29,15745.11
2006/03/30,986.96,1055.63,15880.69
2006/03/31,1000.25,1061.09,15805.04
2006/04/03,1025.79,1079.32,16063.75
2006/04/04,1038.11,1089.37,16100.09
2006/04/05,1048.67,1099.97,16100.09
2006/04/06,1053.69,1103.24,16411.13
2006/04/07,1068.11,1103.15,16471.78
2006/04/10,1090.72,1117.91,16521.59
2006/04/11,1094.41,1123.31,16475.81
2006/04/12,1095.5,1117.07,16310.76
2006/04/13,1062.69,1093.93,16429.45
2006/04/14,1088.18,1118.61,16429.45
2006/04/17,1093.51,1124.41,16429.45
2006/04/18,1097.73,1131.28,16637.53
2006/04/19,1100.66,1138.24,16830.44
2006/04/20,1091.85,1134.38,16944.34
2006/04/21,1102.55,1149.16,16912.15
2006/04/24,1094.38,1142.7,16705.67
2006/04/25,1103.06,1141.93,16577.77
2006/04/26,1116.81,1155.73,16672.66
2006/04/27,1125.32,1155.27,16742.85
2006/04/28,1141.69,1172.35,16661.3
2006/05/08,1180.73,1218.44,17301.79
2006/05/09,1218.09,1251.61,17133.99
2006/05/10,1241.57,1265.93,17080.59
2006/05/11,1237.77,1255.04,17140.78
2006/05/12,1283.68,1296.26,16901.85
2006/05/15,1344.92,1352.16,16494.84
2006/05/16,1297.93,1331.13,16393.11
2006/05/17,1318.97,1335.52,16615.55
2006/05/18,1328.21,1331.2,16266.52
2006/05/19,1365.65,1366.1,16313.36
2006/05/22,1386.75,1373.67,15805.52
2006/05/23,1326.16,1317.65,15864.56
2006/05/24,1308.69,1308.24,15822.64
2006/05/25,1324.92,1307.7,15696.89
2006/05/26,1355.5,1331.02,15895.1
2006/05/29,1387.52,1366.29,15963.77
2006/05/30,1410.54,1378.76,15857.89
2006/05/31,1402.33,1365.45,15857.89
2006/06/01,1455.74,1402.88,15645.27
2006/06/02,1457.76,1390.12,15912.71
2006/06/05,1484.29,1403.16,16016.23
2006/06/06,1470.45,1399.14,15973.11
2006/06/07,1370.81,1320.23,15816.55
2006/06/08,1376.08,1325.98,15450.11
2006/06/09,1346.48,1294.19,15628.69
2006/06/12,1352.58,1297.67,15621.44
2006/06/13,1361.53,1298.28,15234.42
2006/06/14,1347.88,1283.88,15247.92
2006/06/15,1352.34,1285.39,15435.08
2006/06/16,1382.41,1318.01,15842.65
2006/06/19,1398,1334.89,15768.86
2006/06/20,1414.91,1338.22,15608.97
2006/06/21,1410.5,1333.53,15659.36
2006/06/22,1411.28,1331.55,15826.7
2006/06/23,1430.51,1339.45,15808.81
2006/06/26,1457.14,1363.41,15804.81
2006/06/27,1464.69,1363.9,15774.7
2006/06/28,1461.79,1362.89,15742.66
2006/06/29,1488.16,1395.12,15865.22
2006/06/30,1486,1393.96,16267.62
2006/07/03,1514.07,1420.33,16326.66
2006/07/04,1508.84,1411.01,16368.98
2006/07/05,1497.66,1393.01,16267.18
2006/07/06,1539.18,1418.68,16440.99
2006/07/07,1541.25,1410.43,16459.78
2006/07/10,1550.04,1412.12,16603.81
2006/07/11,1561.84,1418.58,16490.13
2006/07/12,1562.06,1419.2,16522.21
2006/07/13,1459.78,1346.09,16305.48
2006/07/14,1470.47,1357.13,16135.71
2006/07/17,1494.79,1372.25,16064.82
2006/07/18,1506.59,1373.42,16043.94
2006/07/19,1472.35,1336.64,16097.54
2006/07/20,1484.41,1345.19,16472.62
2006/07/21,1493.04,1356.03,16464.18
2006/07/24,1496.61,1358.12,16480.59
2006/07/25,1518.17,1374.17,16583.86
2006/07/26,1523.86,1371.3,16617.24
2006/07/27,1506.56,1355.55,16916.77
2006/07/28,1492.11,1341.39,16955.04
2006/07/31,1425.04,1294.33,16971.34
2006/08/01,1408.9,1282.06,16911.37
2006/08/02,1401.86,1275.09,17032.75
2006/08/03,1401.16,1271.74,17048.42
2006/08/04,1354.78,1241.91,16887.8
2006/08/07,1323.73,1224.1,16953.55
2006/08/08,1364.99,1252.39,17048.2
2006/08/09,1367.4,1251.3,17346.58
2006/08/10,1391.14,1271.47,17222.14
2006/08/11,1398.01,1275.65,17249.95
2006/08/14,1356.85,1245.72,17290.01
2006/08/15,1383.36,1265.86,17274.07
2006/08/16,1407.31,1283.57,17451.03
2006/08/17,1395.72,1271.63,17373.05
2006/08/18,1384.9,1267.87,17330.7
2006/08/21,1392.97,1270.56,17007.88
2006/08/22,1408.85,1285.27,17149.75
2006/08/23,1403.58,1285.68,17088.39
2006/08/24,1416.9,1292.4,16883.04
2006/08/25,1421.1,1295.44,16955.45
2006/08/28,1457.32,1325.89,16922.29
2006/08/29,1456.44,1330.16,17083.28
2006/08/30,1468.66,1334.67,17284.71
