Date,zz 500,hs 300,gold,spx,hengsheng
2008-07-02,0.718576749,0.810403852,0.833346858,0.920367737,0.989414638
2008-07-03,0.751880094,0.828718691,0.822915746,0.921374545,0.968369043
2008-07-07,0.79107268,0.865387394,0.800378453,0.913648393,0.998924291
2008-07-08,0.803206457,0.871115096,0.795277106,0.929253906,0.967367524
2008-07-09,0.824634191,0.90512408,0.815530214,0.908089066,0.994035214
2008-07-10,0.805806005,0.892696047,0.826037465,0.91443633,0.99476322
2008-07-11,0.800755163,0.886623121,0.82535221,0.9042953,1.011300379
2008-07-14,0.817528251,0.893338462,0.853219268,0.896131406,1.003546691
2008-07-15,0.794007076,0.856447615,0.855427314,0.886362458,0.965268753
2008-07-16,0.753671916,0.824212778,0.825809047,0.908577879,0.967490149
2008-07-17,0.745962737,0.815948436,0.856188709,0.919492253,0.99079452
2008-07-18,0.770866759,0.845184335,0.849107735,0.919754898,0.997152371
2008-07-21,0.802488195,0.873879884,0.856417127,0.91925879,1.027180191
2008-07-22,0.805172093,0.871985659,0.844691644,0.931661488,1.026933116
2008-07-23,0.798188845,0.865555503,0.824133978,0.935447959,1.054606885
2008-07-24,0.818139157,0.893785751,0.817281423,0.913816195,1.052472103
2008-07-25,0.810836397,0.882330346,0.822078211,0.917624552,1.036653375
2008-07-28,0.822001415,0.888829547,0.819489468,0.900559899,1.034214535
2008-07-29,0.805169537,0.872252832,0.811114123,0.921593416,1.014648656
2008-07-30,0.800765388,0.865873708,0.798170407,0.93695817,1.034369071
2008-07-31,0.771229724,0.842107346,0.805251381,0.92464302,1.036215296
2008-08-01,0.783138565,0.85278825,0.799540919,0.919484957,1.042209828
2008-08-04,0.764315491,0.832483124,0.791241713,0.911240811,1.026360558
2008-08-05,0.74068696,0.811448528,0.773729627,0.937410504,1.000596834
2008-08-07,0.747337916,0.816659896,0.748984289,0.923687283,1.00763756
2008-08-08,0.693202406,0.777940868,0.752410566,0.94575679,0.997654727
2008-08-11,0.641219127,0.737519739,0.722259323,0.952322924,0.996475422
2008-08-12,0.632229345,0.733719283,0.70748826,0.94084678,0.986517205
2008-08-13,0.631943063,0.733875384,0.723020718,0.938103596,0.97067295
2008-08-14,0.634857009,0.733527158,0.708249655,0.943283546,0.975203722
2008-08-15,0.632306028,0.734757954,0.672692507,0.947128382,0.964621891
2008-08-18,0.585166547,0.694468911,0.698503798,0.932828801,0.954141261
2008-08-19,0.594808132,0.704996716,0.708097376,0.924139617,0.93379632
2008-08-20,0.644324781,0.760373512,0.691727383,0.929866745,0.954168156
2008-08-21,0.621411956,0.73366825,0.711371374,0.932186779,0.929588295
2008-08-25,0.606831997,0.720630822,0.715635186,0.924249052,0.962078659
2008-08-26,0.573840495,0.699911429,0.717386395,0.927656146,0.959884615
2008-08-27,0.572020556,0.698038218,0.721878626,0.935061287,0.978486355
2008-08-28,0.571752166,0.701211269,0.725076485,0.948937717,0.956038541
2008-08-29,0.58973173,0.717956093,0.722411602,0.935914884,0.969240188
2008-09-02,0.576084745,0.686066479,0.699950449,0.932084639,0.959237297
2008-09-03,0.571869747,0.674223824,0.695915055,0.930187756,0.938386353
2008-09-04,0.576319906,0.675781831,0.689823895,0.902354643,0.929470683
2008-09-05,0.549238093,0.65545269,0.688453384,0.906352689,0.908674443
2008-09-08,0.521415012,0.638368647,0.689367058,0.924942144,0.947923358
2008-09-09,0.52593163,0.642157096,0.679012086,0.893366334,0.934103568
2008-09-10,0.529829673,0.64336988,0.651830283,0.89886,0.911705899
2008-09-11,0.519973375,0.622041093,0.63546029,0.911269994,0.883850242
2008-09-12,0.521100612,0.623758203,0.652439399,0.913203355,0.882217359
2008-09-16,0.509547069,0.600583222,0.659368094,0.885399425,0.834247881
2008-09-17,0.499982166,0.579116346,0.717310256,0.843667994,0.804005352
2008-09-18,0.485484002,0.569164913,0.75804489,0.880234066,0.803789731
2008-09-19,0.533413316,0.622335283,0.740761222,0.915669304,0.881069964
2008-09-22,0.557941592,0.662711382,0.782104972,0.880657217,0.894949472
2008-09-23,0.52200547,0.637456057,0.768399862,0.866890222,0.860333897
2008-09-24,0.533852964,0.64207004,0.772663674,0.865175731,0.864397415
2008-09-25,0.546508184,0.667490472,0.762765539,0.882182019,0.86314107
2008-09-26,0.545981629,0.673533378,0.765125863,0.884976274,0.851637951
2008-10-06,0.525031885,0.63902307,0.721117231,0.771075732,0.766012782
2008-10-08,0.510096629,0.607256536,0.757740331,0.718583137,0.703467701
2008-10-09,0.503504463,0.598977184,0.742893128,0.663850761,0.726785292
2008-10-10,0.469656669,0.572458042,0.724162811,0.656044357,0.674527103
2008-10-13,0.478743583,0.596032281,0.712818025,0.73201453,0.743602804
2008-10-14,0.464268423,0.580761409,0.708021236,0.728118623,0.76734024
2008-10-15,0.461832466,0.574679478,0.711066816,0.662333254,0.729295246
2008-10-16,0.435704076,0.546623342,0.679545062,0.690487378,0.694295383
2008-10-17,0.441284028,0.550333741,0.66462172,0.686197504,0.663465253
2008-10-20,0.456661488,0.569387057,0.650916609,0.71891874,0.698511614
2008-10-21,0.455664612,0.564788084,0.640637776,0.696776276,0.685663713
2008-10-22,0.447019903,0.550351752,0.608430767,0.654264205,0.650354323
2008-10-23,0.451556969,0.550790036,0.595943888,0.662530238,0.627282895
2008-10-24,0.445061935,0.534825716,0.597618957,0.6396655,0.575218901
