Date,zz500,hs300,gold,spx,hengsheng
2008/07/02,0.7186,0.8104,0.8333,0.9204,0.9894
2008/07/03,0.7519,0.8287,0.8229,0.9214,0.9684
2008/07/07,0.7911,0.8654,0.8004,0.9136,0.9989
2008/07/08,0.8032,0.8711,0.7953,0.9293,0.9674
2008/07/09,0.8246,0.9051,0.8155,0.9081,0.994
2008/07/10,0.8058,0.8927,0.826,0.9144,0.9948
2008/07/11,0.8008,0.8866,0.8254,0.9043,1.0113
2008/07/14,0.8175,0.8933,0.8532,0.8961,1.0035
2008/07/15,0.794,0.8564,0.8554,0.8864,0.9653
2008/07/16,0.7537,0.8242,0.8258,0.9086,0.9675
2008/07/17,0.746,0.8159,0.8562,0.9195,0.9908
2008/07/18,0.7709,0.8452,0.8491,0.9198,0.9972
2008/07/21,0.8025,0.8739,0.8564,0.9193,1.0272
2008/07/22,0.8052,0.872,0.8447,0.9317,1.0269
2008/07/23,0.7982,0.8656,0.8241,0.9354,1.0546
2008/07/24,0.8181,0.8938,0.8173,0.9138,1.0525
2008/07/25,0.8108,0.8823,0.8221,0.9176,1.0367
2008/07/28,0.822,0.8888,0.8195,0.9006,1.0342
2008/07/29,0.8052,0.8723,0.8111,0.9216,1.0146
2008/07/30,0.8008,0.8659,0.7982,0.937,1.0344
2008/07/31,0.7712,0.8421,0.8053,0.9246,1.0362
2008/08/01,0.7831,0.8528,0.7995,0.9195,1.0422
2008/08/04,0.7643,0.8325,0.7912,0.9112,1.0264
2008/08/05,0.7407,0.8114,0.7737,0.9374,1.0006
2008/08/07,0.7473,0.8167,0.749,0.9237,1.0076
2008/08/08,0.6932,0.7779,0.7524,0.9458,0.9977
2008/08/11,0.6412,0.7375,0.7223,0.9523,0.9965
2008/08/12,0.6322,0.7337,0.7075,0.9408,0.9865
2008/08/13,0.6319,0.7339,0.723,0.9381,0.9707
2008/08/14,0.6349,0.7335,0.7082,0.9433,0.9752
2008/08/15,0.6323,0.7348,0.6727,0.9471,0.9646
2008/08/18,0.5852,0.6945,0.6985,0.9328,0.9541
2008/08/19,0.5948,0.705,0.7081,0.9241,0.9338
2008/08/20,0.6443,0.7604,0.6917,0.9299,0.9542
2008/08/21,0.6214,0.7337,0.7114,0.9322,0.9296
2008/08/25,0.6068,0.7206,0.7156,0.9242,0.9621
2008/08/26,0.5738,0.6999,0.7174,0.9277,0.9599
2008/08/27,0.572,0.698,0.7219,0.9351,0.9785
2008/08/28,0.5718,0.7012,0.7251,0.9489,0.956
2008/08/29,0.5897,0.718,0.7224,0.9359,0.9692
2008/09/02,0.5761,0.6861,0.7,0.9321,0.9592
2008/09/03,0.5719,0.6742,0.6959,0.9302,0.9384
2008/09/04,0.5763,0.6758,0.6898,0.9024,0.9295
2008/09/05,0.5492,0.6555,0.6885,0.9064,0.9087
2008/09/08,0.5214,0.6384,0.6894,0.9249,0.9479
2008/09/09,0.5259,0.6422,0.679,0.8934,0.9341
2008/09/10,0.5298,0.6434,0.6518,0.8989,0.9117
2008/09/11,0.52,0.622,0.6355,0.9113,0.8839
2008/09/12,0.5211,0.6238,0.6524,0.9132,0.8822
2008/09/16,0.5095,0.6006,0.6594,0.8854,0.8342
2008/09/17,0.5,0.5791,0.7173,0.8437,0.804
2008/09/18,0.4855,0.5692,0.758,0.8802,0.8038
2008/09/19,0.5334,0.6223,0.7408,0.9157,0.8811
2008/09/22,0.5579,0.6627,0.7821,0.8807,0.8949
2008/09/23,0.522,0.6375,0.7684,0.8669,0.8603
2008/09/24,0.5339,0.6421,0.7727,0.8652,0.8644
2008/09/25,0.5465,0.6675,0.7628,0.8822,0.8631
2008/09/26,0.546,0.6735,0.7651,0.885,0.8516
2008/10/06,0.525,0.639,0.7211,0.7711,0.766
2008/10/08,0.5101,0.6073,0.7577,0.7186,0.7035
2008/10/09,0.5035,0.599,0.7429,0.6639,0.7268
2008/10/10,0.4697,0.5725,0.7242,0.656,0.6745
2008/10/13,0.4787,0.596,0.7128,0.732,0.7436
2008/10/14,0.4643,0.5808,0.708,0.7281,0.7673
2008/10/15,0.4618,0.5747,0.7111,0.6623,0.7293
2008/10/16,0.4357,0.5466,0.6795,0.6905,0.6943
2008/10/17,0.4413,0.5503,0.6646,0.6862,0.6635
2008/10/20,0.4567,0.5694,0.6509,0.7189,0.6985
2008/10/21,0.4557,0.5648,0.6406,0.6968,0.6857
2008/10/22,0.447,0.5504,0.6084,0.6543,0.6504
2008/10/23,0.4516,0.5508,0.5959,0.6625,0.6273
2008/10/24,0.4451,0.5348,0.5976,0.6397,0.5752
2008/10/27,0.4102,0.4967,0.622,0.6193,0.5022
2008/10/28,0.4197,0.5121,0.623,0.6862,0.5742
2008/10/29,0.4031,0.4978,0.6331,0.6786,0.579
2008/10/30,0.4065,0.5096,0.6079,0.6961,0.6532
2008/10/31,0.3993,0.4994,0.5567,0.7068,0.6368
2008/11/03,0.3936,0.4964,0.5635,0.705,0.6539
2008/11/04,0.3869,0.4886,0.5868,0.7338,0.6557
2008/11/05,0.3996,0.5078,0.5752,0.6951,0.6765
2008/11/06,0.3928,0.4953,0.5672,0.6602,0.6286
2008/11/07,0.3991,0.5037,0.5694,0.6792,0.6493
2008/11/10,0.4285,0.5409,0.5785,0.6706,0.6721
2008/11/11,0.425,0.5348,0.5637,0.6558,0.6401
2008/11/12,0.4356,0.5409,0.5553,0.6218,0.6354
2008/11/13,0.4561,0.5626,0.5416,0.6649,0.6027
2008/11/14,0.4773,0.5835,0.5741,0.6371,0.6174
2008/11/17,0.5008,0.5966,0.5733,0.6207,0.6168
2008/11/18,0.4643,0.5523,0.5649,0.6268,0.5888
2008/11/19,0.497,0.5863,0.567,0.5885,0.5842
2008/11/20,0.4981,0.5801,0.5764,0.549,0.5606
2008/11/21,0.491,0.5766,0.6094,0.5837,0.5771
2008/11/24,0.4709,0.5516,0.6319,0.6215,0.5679
2008/11/25,0.4672,0.5506,0.6314,0.6255,0.5871
2008/11/26,0.469,0.5534,0.6244,0.6476,0.6095
2008/11/28,0.4707,0.5493,0.6307,0.6539,0.6331
2008/12/01,0.4906,0.5596,0.5981,0.5955,0.6432
2008/12/02,0.5003,0.561,0.5999,0.6193,0.6111
2008/12/03,0.5214,0.5862,0.5929,0.6353,0.6194
2008/12/04,0.5209,0.5953,0.5892,0.6166,0.6159
2008/12/05,0.5364,0.6043,0.5793,0.6392,0.6312
2008/12/08,0.5599,0.6289,0.5931,0.6637,0.6858
2008/12/09,0.5456,0.6127,0.638,0.6483,0.6725
2008/12/10,0.5613,0.6293,0.6211,0.6561,0.7101
2008/12/11,0.5437,0.6143,0.6358,0.6373,0.7118
2008/12/12,0.5194,0.5885,0.6296,0.6418,0.6728
2008/12/15,0.5299,0.5929,0.6428,0.6337,0.6859
2008/12/16,0.5394,0.5987,0.6475,0.6662,0.6897
