date,open,high,low,close,volume
1991/04/03,988.05,988.05,988.05,988.05,0.01
1991/04/04,983.11,983.11,983.11,983.11,0.76
1991/04/05,978.27,978.27,978.27,978.27,0.15
1991/04/06,978.27,978.27,978.27,978.27,0
1991/04/08,968.57,968.57,968.57,968.57,0.08
1991/04/09,963.73,963.73,963.73,963.73,0.04
1991/04/10,958.88,958.88,958.88,958.88,0.11
1991/04/11,954.03,954.03,954.03,954.03,0.06
1991/04/12,949.31,949.31,949.31,949.31,0.11
1991/04/13,949.31,949.31,949.31,949.31,0
1991/04/15,939.98,939.98,939.98,939.98,0.06
1991/04/16,935.38,935.38,935.38,935.38,0.03
1991/04/17,930.78,930.78,930.78,930.78,0.03
1991/04/18,926.18,926.18,926.18,926.18,0.03
1991/04/19,921.58,921.58,921.58,921.58,0.03
1991/04/20,921.58,921.58,921.58,921.58,0
1991/04/22,912.38,912.38,912.38,912.38,0
1991/04/23,907.78,907.78,907.78,907.78,0.15
1991/04/24,903.31,903.31,903.31,903.31,0.11
1991/04/25,898.84,898.84,898.84,898.84,0.11
1991/04/26,894.36,894.36,894.36,894.36,0.09
1991/04/27,894.36,894.36,894.36,894.36,0
1991/04/29,885.43,885.43,885.43,885.43,0.07
1991/04/30,880.98,880.98,880.98,880.98,0.18
1991/05/02,876.57,876.57,876.57,876.57,0.09
1991/05/03,872.16,872.16,872.16,872.16,0.1
1991/05/04,872.16,872.16,872.16,872.16,0
1991/05/06,863.35,863.35,863.35,863.35,0.18
1991/05/07,859.06,859.06,859.06,859.06,0.13
1991/05/08,854.78,854.78,854.78,854.78,0.7
1991/05/09,850.5,850.5,850.5,850.5,0.57
1991/05/10,846.22,846.22,846.22,846.22,0.9
1991/05/11,846.22,846.22,846.22,846.22,0
1991/05/13,837.66,837.66,837.66,837.66,1.91
1991/05/14,834.44,835.01,833.38,835.01,3.87
1991/05/15,832.36,832.54,832.36,832.54,5.67
1991/05/16,830.06,830.06,830.06,830.06,8.12
1991/05/17,827.72,827.72,827.72,827.72,11.55
1991/05/18,827.72,827.72,827.72,827.72,0
1991/05/20,822.67,822.67,822.67,822.67,6.78
1991/05/21,820.15,820.15,820.15,820.15,4.59
1991/05/22,817.63,817.63,817.63,817.63,5.59
1991/05/23,814.16,815.22,813.59,813.59,4.01
1991/05/24,809.56,809.56,809.56,809.56,1.19
1991/05/25,809.56,809.56,809.56,809.56,0
1991/05/27,801.48,801.48,801.48,801.48,1.51
1991/05/28,797.98,797.98,797.98,797.98,0.22
1991/05/29,794.61,794.61,794.61,794.61,0.26
1991/05/30,791.23,791.23,791.23,791.23,0.29
1991/05/31,787.85,787.85,787.85,787.85,0.1
1991/06/01,787.85,787.85,787.85,787.85,0
1991/06/03,781.1,781.1,781.1,781.1,0.33
1991/06/04,777.72,777.72,777.72,777.72,0.96
1991/06/05,774.35,774.35,774.35,774.35,1.99
1991/06/06,771.26,771.26,771.26,771.26,0.04
1991/06/07,768.16,768.16,768.16,768.16,0.11
1991/06/08,768.16,768.16,768.16,768.16,0
1991/06/10,754.25,754.25,733.65,733.65,0.18
1991/06/11,733.7,756.51,732.23,756.51,0.76
1991/06/12,755.26,758.21,751.41,753.06,1.22
1991/06/13,751.07,751.07,745.92,745.92,2.18
1991/06/14,743.2,743.2,734.2,735.67,2.08
1991/06/15,735.67,735.67,735.67,735.67,0
1991/06/17,716.99,721.18,715.14,721,1.81
1991/06/18,717.13,721.94,716.4,721.21,1.11
1991/06/19,717.71,721.37,715.88,717.33,1.87
1991/06/20,714.18,714.18,707.56,710.12,1.67
1991/06/21,706.97,707.35,703.66,704.41,1.26
1991/06/22,704.41,704.41,704.41,704.41,0
1991/06/24,694.2,696.76,687.18,689.79,1.9
1991/06/25,685.3,691.55,684.93,690.09,3.36
1991/06/26,686.21,695.28,683.89,693.96,3.58
1991/06/27,690.66,697.46,687.67,694.9,4.83
1991/06/28,691.45,693.37,686.53,691.41,4.56
1991/06/29,691.41,691.41,691.41,691.41,0
1991/07/01,685.65,687.48,680.83,684.01,5.47
1991/07/02,680.4,683.34,665.39,670.15,2.98
1991/07/03,666.81,671.95,660.93,669.06,4.81
1991/07/04,665.85,667.54,660.42,661.61,3.1
1991/07/05,659.38,660.66,648.22,652.38,3.53
1991/07/06,652.38,652.38,652.38,652.38,0
1991/07/08,640.79,641.41,623.23,628.45,3.21
1991/07/09,620.78,620.78,603.04,611.99,2.68
1991/07/10,609.63,617.19,607.64,614.92,3.38
1991/07/11,612.62,615,604.76,608.27,2.83
1991/07/12,605.55,606.19,598.86,603.02,3.59
1991/07/13,603.02,603.02,603.02,603.02,0
1991/07/15,600.47,600.75,590.81,594.38,2.52
1991/07/16,591.97,592.96,581.74,584.85,2.81
1991/07/17,580.06,582.33,572.52,576.75,2.66
1991/07/18,574.99,613.83,573.6,608.91,2.83
1991/07/19,609.39,640.22,606.25,616.73,6.05
1991/07/20,616.73,616.73,616.73,616.73,0
1991/07/22,603.6,607.84,595.85,601.76,4.81
1991/07/23,598.45,605.82,594.92,601.9,2.66
1991/07/24,598.47,600.09,594.65,598.81,2.31
1991/07/25,596.7,598.01,591.05,594.61,3.09
1991/07/26,591.05,592.59,584.6,586.01,3.36
1991/07/27,586.01,586.01,586.01,586.01,0
1991/07/29,583.37,584.99,574.65,579.73,3.94
1991/07/30,577.29,578.4,570.02,577.15,2.57
1991/07/31,572.86,578.74,571.91,578.42,2.49
1991/08/01,574.82,580.59,574.19,579.32,3.38
1991/08/02,576.39,579.74,574.81,577.96,2.85
1991/08/03,577.96,577.96,577.96,577.96,0
1991/08/05,578.71,579.8,575.77,578.18,2.53
1991/08/06,575.97,578.91,573.75,576.83,2.63
1991/08/07,575.48,577.42,574.39,576.33,2.4
1991/08/08,575.75,576.07,573.52,574.52,2.12
1991/08/09,574.12,575.21,570.05,572.8,2.47
1991/08/10,572.8,572.8,572.8,572.8,0
1991/08/12,573.74,574.51,571.01,572.79,2.3
1991/08/13,571.71,573.02,570.94,571.4,2.36
1991/08/14,570.54,572.62,569.41,570.54,1.81
1991/08/15,570.14,572.09,567.43,568.71,2.08
1991/08/16,568.98,572.19,567.36,570.96,2.54
1991/08/17,570.96,570.96,570.96,570.96,0
1991/08/19,450.14,459.35,446.51,458.02,7.55
1991/08/20,456.72,457.78,446.64,449.1,5.78
1991/08/21,448.14,448.86,439.33,445.99,7.87
1991/08/22,443.66,446.2,434.29,437.26,3.09
1991/08/23,434.5,438.28,425.9,435.63,8.56
1991/08/24,435.63,435.63,435.63,435.63,0
1991/08/26,443.05,444.7,437.68,441.41,6.73
1991/08/27,439.6,441.3,434.73,437.08,5.93
1991/08/28,437.35,438.58,431.88,436.05,6.16
1991/08/29,432.32,436.32,430.61,435.37,5.52
1991/08/30,432.65,435.3,431.34,433.77,5.41
1991/08/31,433.77,433.77,433.77,433.77,0
1991/09/02,431.03,432.86,425.82,431.79,6.34
1991/09/03,430.07,432.61,425.48,429.33,8.26
1991/09/04,427.41,429.25,422.24,425.99,4.89
1991/09/05,423.2,424.37,414.21,419.58,9.96
1991/09/06,414.52,415.45,397.67,402.5,7.75
1991/09/07,402.5,402.5,402.5,402.5,0
1991/09/09,401.57,409.76,400.38,409.76,11.94
1991/09/10,407.04,412.64,403.32,410.44,8.84
1991/09/11,407.98,418.12,407.05,417.53,9.48
1991/09/12,416.57,420.12,414.44,419.04,8.23
1991/09/13,417.66,419.53,413.4,418.51,13.5
1991/09/14,418.51,418.51,418.51,418.51,0
1991/09/16,414.03,415.56,409.68,413.86,5.22
1991/09/17,410.99,413.87,409.4,412.51,6.12
1991/09/18,409.97,412.49,407.84,410.99,5.81
1991/09/19,410.21,411.44,405.32,408.18,7.06
1991/09/20,406.91,409.21,405.38,407.54,4.87
1991/09/21,407.54,407.54,407.54,407.54,0
1991/09/23,406.77,408.43,406.34,408.43,4.42
1991/09/24,407.38,408.02,405.43,406.96,3.27
1991/09/25,405.78,411.97,404.84,409.03,5.01
1991/09/26,407.03,410.62,406.1,410.32,3.12
1991/09/27,410.34,415.96,408.82,413.78,4.54
1991/09/28,413.78,413.78,413.78,413.78,0
1991/09/29,413.78,413.78,413.78,413.78,0
1991/10/03,417.56,452.45,416.63,442.05,7.83
1991/10/04,445.18,446.24,432.71,438.35,12.04
1991/10/05,438.35,438.35,438.35,438.35,0
1991/10/07,445.51,492.51,444.58,491.26,15.72
1991/10/08,523.29,607.01,522,586.49,36.85
1991/10/09,593.66,723.53,593.66,712.85,74.74
1991/10/10,717.04,775.17,618.95,641.41,55.94
1991/10/11,634.4,676.18,539.87,667.99,49.82
1991/10/12,667.99,667.99,667.99,667.99,0
1991/10/14,691.93,709.01,683.86,692,44.65
1991/10/15,692.89,696.09,646.55,656.81,25.37
1991/10/16,659.2,659.5,632.3,648.78,26.23
1991/10/17,646.93,672.98,642.69,672.13,32.64
1991/10/18,673.64,697.23,669.15,675.86,32.7
1991/10/19,675.86,675.86,675.86,675.86,0
1991/10/21,673.17,681.39,665.44,670.9,21.96
1991/10/22,671.54,672.47,656.15,659.23,20.18
1991/10/23,658.18,667.23,648.67,665.87,23.38
1991/10/24,666.11,680.14,664.82,672.97,25.2
1991/10/25,674.29,676.89,669.27,675.11,20.57
1991/10/26,675.11,675.11,675.11,675.11,0
1991/10/28,680.83,721.57,673.92,707.92,29.91
1991/10/29,708.25,745.3,707.67,725.95,38.33
1991/10/30,727.45,738.45,721.87,733.7,42.67
1991/10/31,736.81,788.95,735.63,779.81,48.29
1991/11/01,783.42,854.63,783.42,833.8,55.59
1991/11/02,833.8,833.8,833.8,833.8,0
1991/11/04,840.56,925.97,839.92,918.11,74.69
1991/11/05,921.24,972.63,909.35,919.05,90.36
1991/11/06,920.76,922.04,827.08,879.2,73.52
1991/11/07,880.78,936.83,880.01,899.59,74.26
1991/11/08,901.81,918.49,879.55,914.82,77.39
1991/11/09,914.82,914.82,914.82,914.82,0
1991/11/12,969.51,1131.59,969.51,1122.72,80.56
1991/11/13,1124.42,1192.05,1124.42,1149.97,110.42
1991/11/14,1152.56,1206.32,1149.7,1186.84,88.23
1991/11/15,1185.23,1202.38,1136.1,1142.06,93.84
1991/11/16,1142.06,1142.06,1142.06,1142.06,0
1991/11/18,1109.55,1109.55,895.86,917.6,59.34
1991/11/19,918.13,1068.78,911.94,1065.5,65.47
1991/11/20,1065.19,1109.49,1041.78,1062.21,62.23
1991/11/21,1065.49,1068.11,983.85,1009.91,41.73
1991/11/22,1011.42,1048.36,998.35,1039.52,46.72
1991/11/23,1039.52,1039.52,1039.52,1039.52,0
1991/11/25,1036.06,1037.58,978.17,994.93,34.92
1991/11/26,997.34,997.77,921.12,929.58,47.78
1991/11/27,931.39,978.57,917.74,975.31,46.18
1991/11/28,976.18,996.3,931.31,936.05,49.49
1991/11/29,932.27,935.91,867.16,899.8,39.68
1991/11/30,899.8,899.8,899.8,899.8,0
1991/12/02,881.62,887.04,852.03,873.26,41.97
1991/12/03,871.52,918.36,865.48,909.47,30.59
1991/12/04,912.01,929.5,902.58,911.56,30.24
1991/12/05,912.74,913.13,869.25,879.01,14.45
1991/12/06,880,897.52,868.81,893.58,21.88
1991/12/07,893.58,893.58,893.58,893.58,0
1991/12/09,902.8,916.92,896.83,911.79,28.26
1991/12/10,910.95,924.76,908.96,922.39,28.64
1991/12/11,924.09,929.12,910.96,916.16,22.09
1991/12/12,915.93,915.93,891.43,900.16,15.06
1991/12/13,894.42,894.72,871.06,879.26,31.77
1991/12/14,879.26,879.26,879.26,879.26,0
1991/12/16,890.01,902.9,882.88,898.15,20.4
1991/12/17,900.13,903.23,885.23,890.63,15.82
1991/12/18,890.22,894.9,881.07,891,15.41
1991/12/19,891.27,891.91,882.11,887.33,15.86
1991/12/20,887.16,892.14,879.62,886.13,15.23
1991/12/21,886.13,886.13,886.13,886.13,0
1991/12/23,887.17,901.75,885.28,898.97,19.44
1991/12/24,899.73,968.95,895.97,962.97,43.02
1991/12/25,962.46,992.55,950.12,959.07,35.38
1991/12/26,958.18,959.11,921.71,930.27,31.88
1991/12/27,930.97,946,925.94,944.38,30.28
1991/12/28,944.38,944.38,944.38,944.38,0
1991/12/30,967.87,970.5,947.3,953.42,20.88
1991/12/31,953.23,966.92,950.31,963.57,14.41
1992/01/02,966.22,973.06,958.89,964.7,26.54
1992/01/03,965.38,969.15,957.72,962.16,26.63
1992/01/06,960.99,976.17,958.11,973.08,34.64
1992/01/07,972.53,990.98,968.49,986.99,48.67
1992/01/08,984.81,992.2,968.2,979.09,35.75
1992/01/09,983.75,988.47,973.16,982.93,19.09
1992/01/10,983.77,987.19,976.11,985.67,16.07
1992/01/13,986.68,986.94,973.34,976.56,16.39
1992/01/14,976.22,977.07,958.02,962.72,13.2
1992/01/15,963.73,968.66,949.87,954.01,29.34
1992/01/16,953.65,953.95,929.4,937.31,17.07
1992/01/17,935.64,947.58,917.37,945.36,16.19
1992/01/20,945.57,965.92,943.74,958.36,20.36
1992/01/21,958.88,964.56,945.6,949.69,14.56
1992/01/22,947.9,953.23,938.88,946.26,19.71
1992/01/23,947.72,956.01,942.85,952.95,17.69
1992/01/24,953.72,967.16,950.09,962.69,20.66
