Date,shanghai,shenzhen
4/3/91,121.71,988.05
4/4/91,121.72,983.11
4/5/91,121.54,978.27
4/8/91,121.09,968.57
4/9/91,120.62,963.73
4/10/91,120.16,958.88
4/11/91,119.64,954.03
4/12/91,119.21,949.31
4/15/91,118.77,939.98
4/16/91,118.34,935.38
4/17/91,117.9,930.78
4/18/91,117.45,926.18
4/19/91,117.08,921.58
4/22/91,116.63,912.38
4/23/91,116.19,907.78
4/24/91,115.79,903.31
4/25/91,115.36,898.84
4/26/91,115.56,894.36
4/29/91,114.75,885.43
4/30/91,113.94,880.98
5/2/91,113.16,876.57
5/3/91,112.41,872.16
5/6/91,111.61,863.35
5/7/91,110.82,859.06
5/8/91,110.03,854.78
5/9/91,109.29,850.5
5/10/91,108.53,846.22
5/13/91,107.84,837.66
5/14/91,107.19,835.01
5/15/91,106.57,832.54
5/16/91,105.77,830.06
5/17/91,106.75,827.72
5/20/91,107.82,822.67
5/21/91,108.81,820.15
5/22/91,108.25,817.63
5/23/91,109.08,813.59
5/24/91,110.08,809.56
5/27/91,110.66,801.48
5/28/91,111.68,797.98
5/29/91,112.75,794.61
5/30/91,113.82,791.23
5/31/91,114.83,787.85
6/3/91,115.97,781.1
6/4/91,117.12,777.72
6/5/91,118.17,774.35
6/6/91,119.35,771.26
6/7/91,120.47,768.16
6/10/91,121.67,733.65
6/11/91,122.89,756.51
6/12/91,124.11,753.06
6/13/91,125.34,745.92
6/14/91,124.53,735.67
6/17/91,125.77,721
6/18/91,127.03,721.21
6/19/91,128.29,717.33
6/20/91,129.57,710.12
6/21/91,130.86,704.41
6/24/91,132.17,689.79
6/25/91,133.49,690.09
6/26/91,134.83,693.96
6/27/91,136.19,694.9
6/28/91,137.56,691.41
7/1/91,136.85,684.01
7/2/91,135.96,670.15
7/3/91,135.27,669.06
7/4/91,136.63,661.61
7/5/91,135.96,652.38
7/8/91,135.28,628.45
7/9/91,134.64,611.99
7/10/91,133.99,614.92
7/11/91,133.38,608.27
7/12/91,132.8,603.02
7/15/91,133.14,594.38
7/16/91,134.47,584.85
7/17/91,135.81,576.75
7/18/91,137.17,608.91
7/19/91,136.7,616.73
7/22/91,138.07,601.76
7/23/91,139.39,601.9
7/24/91,140.68,598.81
7/25/91,140.19,594.61
7/26/91,140.66,586.01
7/29/91,141.52,579.73
7/30/91,142.39,577.15
7/31/91,143.8,578.42
8/1/91,145.24,579.32
8/2/91,146.68,577.96
8/5/91,148.15,578.18
8/6/91,149.62,576.83
8/7/91,151.12,576.33
8/8/91,152.61,574.52
8/9/91,154.1,572.8
8/12/91,155.54,572.79
8/13/91,157.07,571.4
8/14/91,158.63,570.54
8/15/91,160.21,568.71
8/16/91,161.6,570.96
8/19/91,163.21,458.02
8/20/91,164.84,449.1
8/21/91,166.49,445.99
8/22/91,168.16,437.26
8/23/91,169.81,435.63
8/26/91,171.51,441.41
8/27/91,173.19,437.08
8/28/91,174.92,436.05
8/29/91,176.66,435.37
8/30/91,178.43,433.77
9/2/91,180.22,431.79
9/3/91,181.97,429.33
9/4/91,183.69,425.99
9/5/91,185.51,419.58
9/6/91,187.36,402.5
9/9/91,189.24,409.76
9/10/91,188.33,410.44
9/11/91,187.22,417.53
9/12/91,186.22,419.04
9/13/91,187.79,418.51
9/16/91,189.66,413.86
9/17/91,188.65,412.51
9/18/91,187.63,410.99
9/19/91,186.88,408.18
9/20/91,185.92,407.54
9/23/91,185,408.43
9/24/91,184.08,406.96
9/25/91,183.19,409.03
9/26/91,182.33,410.32
9/27/91,181.82,413.78
9/30/91,180.92,413.78
10/3/91,182.48,442.05
10/4/91,184.29,438.35
10/7/91,186,491.26
10/8/91,187.49,586.49
10/9/91,189.12,712.85
10/10/91,191.01,641.41
10/11/91,192.85,667.99
10/14/91,194.67,692
10/15/91,196.61,656.81
10/16/91,198.57,648.78
10/17/91,200.51,672.13
10/18/91,202.51,675.86
10/21/91,204.53,670.9
10/22/91,206.53,659.23
10/23/91,208.25,665.87
10/24/91,210.07,672.97
10/25/91,211.86,675.11
10/28/91,213.98,707.92
10/29/91,215.78,725.95
10/30/91,216.43,733.7
10/31/91,218.6,779.81
11/1/91,220.72,833.8
11/4/91,222.77,918.11
11/5/91,224.65,919.05
11/6/91,226.88,879.2
11/7/91,228.93,899.59
11/8/91,231.22,914.82
11/11/91,233.55,914.82
11/12/91,235.8,1122.72
11/13/91,236.67,1149.97
11/14/91,237.45,1186.84
11/15/91,238.25,1142.06
11/18/91,240.62,917.6
11/19/91,242.24,1065.5
11/20/91,244.5,1062.21
11/21/91,246.31,1009.91
11/22/91,248.53,1039.52
11/25/91,250.85,994.93
11/26/91,252.97,929.58
11/27/91,255.45,975.31
11/28/91,257.35,936.05
11/29/91,259.6,899.8
12/2/91,262.19,873.26
12/3/91,264.81,909.47
12/4/91,265.77,911.56
12/5/91,266.66,879.01
12/6/91,269.35,893.58
12/9/91,270.27,911.79
12/10/91,272.91,922.39
12/11/91,273.71,916.16
12/12/91,274.41,900.16
12/13/91,277,879.26
12/16/91,277.85,898.15
12/17/91,278.68,890.63
12/18/91,279.51,891
12/19/91,280.17,887.33
12/20/91,282.83,886.13
12/23/91,285.65,898.97
12/24/91,286.22,962.97
12/25/91,287.15,959.07
12/26/91,288.03,930.27
12/27/91,290.85,944.38
12/30/91,291.71,953.42
12/31/91,292.75,963.57
1/2/92,293.75,964.7
1/3/92,296.52,962.16
1/6/92,297.68,973.08
1/7/92,298.77,986.99
1/8/92,299.66,979.09
1/9/92,300.62,982.93
1/10/92,301.83,985.67
1/13/92,303.06,976.56
1/14/92,305.74,962.72
1/15/92,306.63,954.01
1/16/92,306.85,937.31
1/17/92,307.38,945.36
1/20/92,307.39,958.36
1/21/92,307.87,949.69
1/22/92,307.95,946.26
1/23/92,308.53,952.95
1/24/92,309.05,962.69
1/27/92,311.61,955.26
1/28/92,311.84,959.59
1/29/92,312.42,970.9
1/30/92,312.73,983.94
1/31/92,313.24,1004.75
2/3/92,314.18,1004.75
2/7/92,314.72,1004.75
2/10/92,315.56,1003.19
2/11/92,316.43,1003.93
2/12/92,316.44,1010.98
2/13/92,317.04,1012.07
2/14/92,319.68,1001.47
2/17/92,319.77,989.37
2/18/92,337.11,982.91
2/19/92,342.41,984.23
2/20/92,347.99,999.12
2/21/92,359.59,996.05
2/24/92,360.5,977.73
2/25/92,360.37,970.43
2/26/92,360.1,958.41
2/27/92,362.45,982.7
2/28/92,364.66,994.14
3/2/92,365.39,1015.28
3/3/92,367,1008.1
3/4/92,368.32,1003.68
3/5/92,369.76,1010.38
3/6/92,371.76,1005.55
3/9/92,373.53,1002.25
3/10/92,375.23,1000.68
3/11/92,376.14,1002.84
3/12/92,376.92,1006.57
3/13/92,376.38,1006.96
3/16/92,377.05,1019.58
3/17/92,377.49,1020.14
3/18/92,377.66,1021.65
3/19/92,377.31,1020.26
3/20/92,377.99,1014.83
3/23/92,378.89,1021.59
3/24/92,378.69,1030.37
3/25/92,378.12,1072.19
3/26/92,379.13,1116.35
3/27/92,380.77,1118.85
3/30/92,381.44,1182.27
3/31/92,381.24,1263.9
4/1/92,381.01,1323.17
4/2/92,381.12,1310.79
4/3/92,381.33,1307.27
4/6/92,381.47,1366.26
4/7/92,381.93,1404.38
4/8/92,382.43,1439.84
4/9/92,381.65,1467.37
4/10/92,382.03,1522.05
4/13/92,391.11,1703.43
4/14/92,400.61,1750.79
4/15/92,406.72,1652.12
4/16/92,410.55,1732.38
4/17/92,414.42,1707.48
4/20/92,413.85,1673.75
4/21/92,410.06,1670.08
4/22/92,399.88,1753.75
4/23/92,407.25,1823.74
4/24/92,414.4,1856.1
4/27/92,424.58,1836.15
4/28/92,436.09,1853.66
4/29/92,444.16,1914.57
4/30/92,445.38,1997.04
5/4/92,453.62,2163.48
5/5/92,449.21,2312.03
5/6/92,449.96,2298.3
5/7/92,454.65,2228.78
5/8/92,468.11,2220.07
5/11/92,491.5,2294.25
5/12/92,506.53,2427.14
5/13/92,514.04,2452.9
5/14/92,523.36,2458.3
5/15/92,544.35,2511.75
5/18/92,571.82,2590.96
5/19/92,598.11,2725.05
5/20/92,616.99,2661.33
5/21/92,1266.49,2678.41
5/22/92,1339.99,2679.22
5/25/92,1421.57,2753.43
5/26/92,1301.35,2828.99
5/27/92,1193.17,2832.33
5/28/92,1160.17,2783.92
5/29/92,1234.71,2766.85
6/1/92,1183.24,2792.75
6/2/92,1141.02,2718.53
6/3/92,1059.07,2516.61
6/4/92,1104.46,2536.52
6/5/92,1105.76,2557.03
6/8/92,1093.46,2514.54
6/9/92,1126.62,2381.33
6/10/92,1187.02,2408.27
6/11/92,1178.3,2367.29
6/12/92,1171.71,2389.57
6/15/92,1171.85,2282.62
6/16/92,1166.7,2121.06
6/17/92,1169.57,2342.54
6/18/92,1168.43,2283.36
6/19/92,1171.94,2283.45
6/22/92,1169.9,2177.59
6/23/92,1158.17,2219.03
6/24/92,1151.06,2195.26
6/25/92,1160.23,2225.98
6/26/92,1164.67,2331.48
6/29/92,1169.51,2528.01
6/30/92,1191.19,2631.82
7/1/92,1194.18,2522.65
7/2/92,1187.48,2500.18
7/3/92,1189.16,2537.49
7/6/92,1201.01,2500.9
7/7/92,1206.46,2510.04
7/8/92,1185.5,2516.7
7/9/92,1178.53,2475.6
7/10/92,1188.62,2460.05
7/13/92,1136.33,2512.72
7/14/92,1114.05,2530.16
7/15/92,1107.69,2517.49
7/16/92,1124.64,2559.2
7/17/92,1125.56,2613.34
7/20/92,1098.82,2725.8
7/21/92,1082.39,2699.46
